code,title,observed,n_studies,aioe_baseline,estimate,posterior_std
11-1011.00,Chief Executives,,,0.3242,0.2705,0.8216
11-1011.03,Chief Sustainability Officers,,,0.3242,0.2733,0.8192
11-1021.00,General and Operations Managers,,,0.2483,0.243,0.8193
11-2033.00,Fundraising Managers,,,,0.2509,1.005
11-3012.00,Administrative Services Managers,,,,0.2536,1.0049
11-3013.00,Facilities Managers,,,,0.2485,1.0047
11-3013.01,Security Managers,,,,0.2342,1.0036
11-3021.00,Computer and Information Systems Managers,,,0.2804,0.2643,0.8168
11-3031.00,Financial Managers,,,0.3225,0.2692,0.8181
11-3031.01,Treasurers and Controllers,,,0.3225,0.2426,0.817
11-3031.03,Investment Fund Managers,,,0.3225,0.2433,0.8169
11-3051.00,Industrial Production Managers,,,0.2093,0.23,0.8185
11-3051.01,Quality Control Systems Managers,,,0.2093,0.2179,0.8174
11-3051.03,Biofuels Production Managers,,,0.2093,0.2266,0.8201
11-3051.04,Biomass Power Plant Managers,,,0.2093,0.231,0.8205
11-3051.06,Hydroelectric Production Managers,,,0.2093,0.2244,0.82
11-3061.00,Purchasing Managers,,,0.3343,0.2732,0.8184
11-3071.00,Transportation; Storage; and Distribution Managers,,,0.2756,0.2542,0.8185
11-3071.04,Supply Chain Managers,,,0.2756,0.2517,0.8216
11-3111.00,Compensation and Benefits Managers,,,0.3432,0.2775,0.8176
11-3121.00,Human Resources Managers,,,0.3302,0.2702,0.8234
11-9013.00,Farmers; Ranchers; and Other Agricultural Managers,,,0.1476,0.2128,0.8199
11-9031.00,Education and Childcare Administrators; Preschool and Daycare,,,0.283,0.2614,0.8191
11-9033.00,Education Administrators; Postsecondary,,,0.3526,0.2767,0.8181
11-9041.00,Architectural and Engineering Managers,,,0.2445,0.2486,0.8241
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,,,0.2445,0.2221,0.8168
11-9071.00,Gambling Managers,,,0.2532,0.2457,0.8203
11-9072.00,Entertainment and Recreation Managers; Except Gambling,,,,0.2606,1.0047
11-9081.00,Lodging Managers,,,0.2225,0.2357,0.8208
11-9111.00,Medical and Health Services Managers,,,0.3249,0.2696,0.8225
11-9121.00,Natural Sciences Managers,,,0.316,0.2601,0.8183
11-9121.02,Water Resource Specialists,,,0.316,0.239,0.817
11-9131.00,Postmasters and Mail Superintendents,,,0.2709,0.2505,0.8229
11-9141.00,Property; Real Estate; and Community Association Managers,,,0.3129,0.2643,0.8192
11-9151.00,Social and Community Service Managers,,,0.3141,0.2684,0.818
11-9179.02,Spa Managers,,,,0.2445,1.003
11-9199.01,Regulatory Affairs Managers,,,0.2762,0.2559,0.8203
11-9199.02,Compliance Managers,,,0.2762,0.2493,0.8193
11-9199.08,Loss Prevention Managers,,,0.2762,0.2516,0.8176
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,,,0.2762,0.253,0.8191
13-1011.00,Agents and Business Managers of Artists; Performers; and Athletes,,,0.3169,0.3062,0.8192
13-1021.00,Buyers and Purchasing Agents; Farm Products,,,0.2554,0.251,0.8179
13-1022.00,Wholesale and Retail Buyers; Except Farm Products,,,0.2619,0.2471,0.8181
13-1023.00,Purchasing Agents; Except Wholesale; Retail; and Farm Products,,,0.3467,0.2843,0.818
13-1031.00,Claims Adjusters; Examiners; and Investigators,,,0.2998,0.2572,0.8195
13-1032.00,Insurance Appraisers; Auto Damage,,,0.2367,0.2375,0.8248
13-1041.00,Compliance Officers,,,0.2355,0.244,0.8181
13-1041.01,Environmental Compliance Inspectors,,,0.2355,0.2404,0.8184
13-1041.03,Equal Opportunity Representatives and Officers,,,0.2355,0.2338,0.8209
13-1041.06,Coroners,,,0.2355,0.2383,0.8191
13-1041.07,Regulatory Affairs Specialists,,,0.2355,0.2479,0.8182
13-1041.08,Customs Brokers,,,0.2355,0.2495,0.8174
13-1051.00,Cost Estimators,,,0.3032,0.2186,0.8176
13-1071.00,Human Resources Specialists,,,0.3541,0.2816,0.8194
13-1075.00,Labor Relations Specialists,,,0.3389,0.269,0.8428
13-1081.00,Logisticians,,,0.2968,0.2609,0.8193
13-1081.01,Logistics Engineers,,,0.2968,0.2541,0.8172
13-1081.02,Logistics Analysts,,,0.2968,0.243,0.817
13-1111.00,Management Analysts,0.1258802458890029,1.0,0.353,0.127,0.0995
13-1141.00,Compensation; Benefits; and Job Analysis Specialists,,,0.3306,0.254,0.8177
13-1151.00,Training and Development Specialists,,,0.3259,0.2757,0.8194
13-1161.00,Market Research Analysts and Marketing Specialists,,,0.3299,0.2264,0.817
13-1161.01,Search Marketing Strategists,,,0.3299,0.2702,0.8187
13-1199.04,Business Continuity Planners,,,0.278,0.253,0.8174
13-1199.05,Sustainability Specialists,,,0.278,0.253,0.8188
13-1199.06,Online Merchants,,,0.278,0.2577,0.8171
13-1199.07,Security Management Specialists,,,0.278,0.2548,0.824
13-2011.00,Accountants and Auditors,,,0.3128,0.2571,0.8174
13-2022.00,Appraisers of Personal and Business Property,,,,0.2253,1.0048
13-2023.00,Appraisers and Assessors of Real Estate,,,,0.2272,1.0008
13-2031.00,Budget Analysts,,,0.3231,0.2655,0.8172
13-2041.00,Credit Analysts,,,0.2981,0.1995,0.8168
13-2052.00,Personal Financial Advisors,,,0.3347,0.2512,0.817
13-2053.00,Insurance Underwriters,,,0.3186,0.2605,0.8171
13-2061.00,Financial Examiners,,,0.3301,0.2571,0.8187
13-2071.00,Credit Counselors,,,0.3298,0.2747,0.8178
13-2072.00,Loan Officers,,,0.3444,0.2699,0.8181
13-2082.00,Tax Preparers,,,0.3044,0.2713,0.8183
13-2099.01,Financial Quantitative Analysts,0.1554514525844957,2.0,0.3175,0.1556,0.0705
13-2099.04,Fraud Examiners; Investigators and Analysts,,,0.3175,0.2456,0.8169
15-1211.00,Computer Systems Analysts,,,,0.2573,1.0006
15-1211.01,Health Informatics Specialists,,,,0.2373,1.0013
15-1212.00,Information Security Analysts,,,,0.2446,1.0016
15-1221.00,Computer and Information Research Scientists,,,,0.2634,1.0006
15-1231.00,Computer Network Support Specialists,,,,0.2555,1.0013
15-1232.00,Computer User Support Specialists,,,,0.2522,1.0007
15-1241.00,Computer Network Architects,,,,0.2562,1.0006
15-1241.01,Telecommunications Engineering Specialists,,,,0.2406,1.0019
15-1242.00,Database Administrators,,,,0.2566,1.0004
15-1243.00,Database Architects,,,,0.2277,1.0003
15-1243.01,Data Warehousing Specialists,,,,0.2209,1.0002
15-1244.00,Network and Computer Systems Administrators,,,,0.2595,1.0004
15-1251.00,Computer Programmers,,,,0.2577,1.0002
15-1252.00,Software Developers,0.1499678250670336,4.0,0.2899,0.1504,0.0499
15-1253.00,Software Quality Assurance Analysts and Testers,,,,0.2459,1.0014
15-1254.00,Web Developers,,,,0.3682,1.001
15-1255.01,Video Game Designers,,,,0.5096,1.0014
