code,title,observed,n_studies,aioe_baseline,estimate,posterior_std
11-1011.03,Chief Sustainability Officers,,,0.3242,0.271,0.8194
11-1021.00,General and Operations Managers,,,0.2483,0.2404,0.8195
11-3012.00,Administrative Services Managers,,,,0.2496,1.005
11-3013.00,Facilities Managers,,,,0.2413,1.0048
11-3013.01,Security Managers,,,,0.2305,1.0038
11-3021.00,Computer and Information Systems Managers,,,0.2804,0.2633,0.8168
11-3031.00,Financial Managers,,,0.3225,0.2693,0.8182
11-3031.01,Treasurers and Controllers,,,0.3225,0.2422,0.817
11-3031.03,Investment Fund Managers,,,0.3225,0.2446,0.8169
11-3051.00,Industrial Production Managers,,,0.2093,0.2149,0.8175
11-3051.01,Quality Control Systems Managers,,,0.2093,0.214,0.8173
11-3051.03,Biofuels Production Managers,,,0.2093,0.2128,0.8193
11-3051.04,Biomass Power Plant Managers,,,0.2093,0.2266,0.8205
11-3051.06,Hydroelectric Production Managers,,,0.2093,0.2169,0.8197
11-3061.00,Purchasing Managers,,,0.3343,0.2712,0.8184
11-3071.00,Transportation; Storage; and Distribution Managers,,,0.2756,0.2516,0.8185
11-3071.04,Supply Chain Managers,,,0.2756,0.249,0.8218
11-3111.00,Compensation and Benefits Managers,,,0.3432,0.2759,0.8177
11-3121.00,Human Resources Managers,,,0.3302,0.2677,0.8237
11-9013.00,Farmers; Ranchers; and Other Agricultural Managers,,,0.1476,0.2077,0.8199
11-9031.00,Education and Childcare Administrators; Preschool and Daycare,,,0.283,0.2586,0.8192
11-9033.00,Education Administrators; Postsecondary,,,0.3526,0.2744,0.8182
11-9041.00,Architectural and Engineering Managers,,,0.2445,0.2467,0.8242
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,,,0.2445,0.2236,0.8168
11-9071.00,Gambling Managers,,,0.2532,0.2428,0.8205
11-9081.00,Lodging Managers,,,0.2225,0.2332,0.8211
11-9111.00,Medical and Health Services Managers,,,0.3249,0.2665,0.823
11-9121.00,Natural Sciences Managers,,,0.316,0.2535,0.8182
11-9121.02,Water Resource Specialists,,,0.316,0.2387,0.817
11-9131.00,Postmasters and Mail Superintendents,,,0.2709,0.248,0.8231
11-9141.00,Property; Real Estate; and Community Association Managers,,,0.3129,0.2621,0.8192
11-9151.00,Social and Community Service Managers,,,0.3141,0.2658,0.8181
11-9179.02,Spa Managers,,,,0.2316,1.0027
11-9199.01,Regulatory Affairs Managers,,,0.2762,0.2541,0.8202
11-9199.02,Compliance Managers,,,0.2762,0.2471,0.8192
11-9199.08,Loss Prevention Managers,,,0.2762,0.2493,0.8177
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,,,0.2762,0.2513,0.8192
13-1011.00,Agents and Business Managers of Artists; Performers; and Athletes,,,0.3169,0.3036,0.8195
13-1021.00,Buyers and Purchasing Agents; Farm Products,,,0.2554,0.2489,0.818
13-1022.00,Wholesale and Retail Buyers; Except Farm Products,,,0.2619,0.2444,0.8181
13-1023.00,Purchasing Agents; Except Wholesale; Retail; and Farm Products,,,0.3467,0.2828,0.818
13-1031.00,Claims Adjusters; Examiners; and Investigators,,,0.2998,0.2553,0.8196
13-1032.00,Insurance Appraisers; Auto Damage,,,0.2367,0.236,0.8257
13-1041.00,Compliance Officers,,,0.2355,0.2439,0.8181
13-1041.01,Environmental Compliance Inspectors,,,0.2355,0.2394,0.8184
13-1041.03,Equal Opportunity Representatives and Officers,,,0.2355,0.2309,0.8207
13-1041.06,Coroners,,,0.2355,0.237,0.8192
13-1041.07,Regulatory Affairs Specialists,,,0.2355,0.246,0.8182
13-1041.08,Customs Brokers,,,0.2355,0.2497,0.8174
13-1051.00,Cost Estimators,,,0.3032,0.2188,0.8176
13-1071.00,Human Resources Specialists,,,0.3541,0.2788,0.8195
13-1075.00,Labor Relations Specialists,,,0.3389,0.2665,0.8435
13-1081.00,Logisticians,,,0.2968,0.2585,0.8194
13-1081.01,Logistics Engineers,,,0.2968,0.2495,0.8171
13-1081.02,Logistics Analysts,,,0.2968,0.2445,0.817
