activity,observed,n_studies,estimate,posterior_std
Analyzing Data or Information,0.6187454499366066,3.0,0.615,0.1162
Assisting and Caring for Others,,,0.3101,1.1285
Communicating with People Outside the Organization,,,0.2437,1.4611
Communicating with Supervisors; Peers; or Subordinates,,,0.2176,0.9457
Documenting/Recording Information,0.32228412256267414,1.0,0.3216,0.2067
Establishing and Maintaining Interpersonal Relationships,,,0.2657,0.8215
Evaluating Information to Determine Compliance with Standards,,,0.2365,1.6971
Getting Information,,,0.2585,0.8212
Handling and Moving Objects,,,0.2406,1.4186
Identifying Objects; Actions; and Events,,,0.2763,1.4141
Interpreting the Meaning of Information for Others,0.5887448327373892,1.0,0.5848,0.297
Making Decisions and Solving Problems,0.6018357252619212,1.0,0.5907,0.1692
Monitoring Processes; Materials; or Surroundings,,,0.2835,1.7439
Organizing; Planning; and Prioritizing Work,,,0.2015,1.0567
Performing for or Working Directly with the Public,,,0.3186,1.0588
Processing Information,0.392791102839755,6.0,0.3928,0.0148
Thinking Creatively,0.06420731866501303,4.0,0.0646,0.0627
Training and Teaching Others,,,0.2817,1.8549
Updating and Using Relevant Knowledge,0.4119263278737213,1.0,0.4028,0.2406
Working with Computers,0.4492359932088285,1.0,0.4476,0.0957
