code,title,observed,n_studies,aioe_baseline,estimate,posterior_std
11-1011.00,Chief Executives,,,0.3242,0.2659,0.819
11-1011.03,Chief Sustainability Officers,,,0.3242,0.2709,0.8182
11-1021.00,General and Operations Managers,,,0.2483,0.24,0.8177
11-2011.00,Advertising and Promotions Managers,,,0.3131,0.2754,0.822
11-2021.00,Marketing Managers,,,0.3116,0.2695,0.8189
11-2022.00,Sales Managers,,,0.3224,0.2668,0.8182
11-2033.00,Fundraising Managers,,,,0.2467,1.0033
11-3012.00,Administrative Services Managers,,,,0.252,1.0026
11-3013.00,Facilities Managers,,,,0.2474,1.0034
11-3013.01,Security Managers,,,,0.2288,1.0012
11-3021.00,Computer and Information Systems Managers,,,0.2804,0.264,0.8168
11-3031.00,Financial Managers,,,0.3225,0.2661,0.8172
11-3031.01,Treasurers and Controllers,,,0.3225,0.2408,0.8169
11-3031.03,Investment Fund Managers,,,0.3225,0.2422,0.8169
11-3051.00,Industrial Production Managers,,,0.2093,0.2277,0.8177
11-3051.01,Quality Control Systems Managers,,,0.2093,0.2157,0.8172
11-3051.02,Geothermal Production Managers,,,0.2093,0.2294,0.8184
11-3051.03,Biofuels Production Managers,,,0.2093,0.2226,0.8179
11-3051.04,Biomass Power Plant Managers,,,0.2093,0.2287,0.8192
11-3051.06,Hydroelectric Production Managers,,,0.2093,0.2217,0.8175
11-3061.00,Purchasing Managers,,,0.3343,0.2718,0.8178
11-3071.00,Transportation; Storage; and Distribution Managers,,,0.2756,0.2534,0.8173
11-3071.04,Supply Chain Managers,,,0.2756,0.2483,0.8176
11-3111.00,Compensation and Benefits Managers,,,0.3432,0.276,0.8174
11-3121.00,Human Resources Managers,,,0.3302,0.2699,0.8183
11-3131.00,Training and Development Managers,,,0.3276,0.2831,0.8216
11-9013.00,Farmers; Ranchers; and Other Agricultural Managers,,,0.1476,0.212,0.8181
11-9021.00,Construction Managers,,,0.2432,0.2393,0.8183
11-9031.00,Education and Childcare Administrators; Preschool and Daycare,,,0.283,0.2593,0.8181
11-9032.00,Education Administrators; Kindergarten through Secondary,,,0.311,0.2673,0.8198
11-9033.00,Education Administrators; Postsecondary,,,0.3526,0.2746,0.8177
11-9041.00,Architectural and Engineering Managers,,,0.2445,0.2485,0.8178
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,,,0.2445,0.2198,0.8167
11-9051.00,Food Service Managers,,,0.174,0.2123,0.8209
11-9071.00,Gambling Managers,,,0.2532,0.241,0.818
11-9072.00,Entertainment and Recreation Managers; Except Gambling,,,,0.258,1.0029
11-9081.00,Lodging Managers,,,0.2225,0.2323,0.8174
11-9111.00,Medical and Health Services Managers,,,0.3249,0.2644,0.8172
11-9121.00,Natural Sciences Managers,,,0.316,0.2576,0.8178
11-9121.01,Clinical Research Coordinators,,,0.316,0.2661,0.8207
11-9121.02,Water Resource Specialists,,,0.316,0.2368,0.8169
11-9131.00,Postmasters and Mail Superintendents,,,0.2709,0.2496,0.8174
11-9141.00,Property; Real Estate; and Community Association Managers,,,0.3129,0.2623,0.8175
11-9151.00,Social and Community Service Managers,,,0.3141,0.2664,0.8176
11-9161.00,Emergency Management Directors,,,0.2751,0.2523,0.8187
11-9171.00,Funeral Home Managers,,,,0.2245,1.0073
11-9179.01,Fitness and Wellness Coordinators,,,,0.2483,1.0028
11-9179.02,Spa Managers,,,,0.2385,1.0018
11-9199.01,Regulatory Affairs Managers,,,0.2762,0.2529,0.8196
11-9199.02,Compliance Managers,,,0.2762,0.2472,0.8189
11-9199.08,Loss Prevention Managers,,,0.2762,0.2496,0.8173
11-9199.09,Wind Energy Operations Managers,,,0.2762,0.2494,0.8177
11-9199.10,Wind Energy Development Managers,,,0.2762,0.253,0.8211
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,,,0.2762,0.2518,0.8182
13-1011.00,Agents and Business Managers of Artists; Performers; and Athletes,,,0.3169,0.3066,0.8183
13-1021.00,Buyers and Purchasing Agents; Farm Products,,,0.2554,0.2495,0.8175
13-1022.00,Wholesale and Retail Buyers; Except Farm Products,,,0.2619,0.2463,0.8173
13-1023.00,Purchasing Agents; Except Wholesale; Retail; and Farm Products,,,0.3467,0.2833,0.8175
13-1031.00,Claims Adjusters; Examiners; and Investigators,,,0.2998,0.2564,0.818
13-1032.00,Insurance Appraisers; Auto Damage,,,0.2367,0.2298,0.8199
13-1041.00,Compliance Officers,,,0.2355,0.2411,0.8178
13-1041.01,Environmental Compliance Inspectors,,,0.2355,0.2383,0.818
13-1041.03,Equal Opportunity Representatives and Officers,,,0.2355,0.2306,0.8202
13-1041.04,Government Property Inspectors and Investigators,,,0.2355,0.2377,0.819
13-1041.06,Coroners,,,0.2355,0.2366,0.8181
13-1041.07,Regulatory Affairs Specialists,,,0.2355,0.2459,0.8179
