activity,observed,n_studies,estimate,posterior_std
Analyzing Data or Information,0.0924851552355073,5.0,0.0931,0.0446
Assisting and Caring for Others,,,0.1825,0.5576
Communicating with People Outside the Organization,,,0.2377,0.6992
Communicating with Supervisors; Peers; or Subordinates,0.2313636418615573,1.0,0.231,0.0978
Documenting/Recording Information,0.1362651337155893,2.0,0.1368,0.0705
Establishing and Maintaining Interpersonal Relationships,,,0.2206,0.3855
Evaluating Information to Determine Compliance with Standards,,,0.213,0.9661
Getting Information,0.3056756374997935,1.0,0.3015,0.0976
Handling and Moving Objects,,,0.1967,0.6185
Identifying Objects; Actions; and Events,,,0.2055,0.6927
Making Decisions and Solving Problems,0.1952577674013655,1.0,0.1959,0.0984
Monitoring Processes; Materials; or Surroundings,,,0.2076,0.8519
Organizing; Planning; and Prioritizing Work,,,0.2315,0.5226
Performing for or Working Directly with the Public,,,0.2071,0.501
Processing Information,0.2227585011587381,5.0,0.2228,0.0446
Thinking Creatively,0.549291539758391,3.0,0.5467,0.0575
Training and Teaching Others,,,0.2479,0.9248
Updating and Using Relevant Knowledge,,,0.2125,0.5279
Working with Computers,0.2611534351592363,11.0,0.2611,0.0301
