code,title,observed,n_studies,aioe_baseline,estimate,posterior_std
11-1000,Chief Executives (11-1),,,0.2989,0.2491,0.8264
11-2000,Advertising and Promotions Managers (11-2),,,0.3157,0.2619,0.831
11-3000,Administrative Services Managers (11-3),,,0.2744,0.2424,0.8203
11-9000,Architectural and Engineering Managers (11-9),,,0.2741,0.2413,0.822
13-1000,Agents and Business Managers of Artists; Performers; and Athletes (13-1),0.1258802458890029,1.0,0.2811,0.1269,0.0995
13-2000,Accountants and Auditors (13-2),0.1554514525844957,2.0,0.3207,0.1557,0.0705
15-1000,Telecommunications Engineering Specialists (15-1),0.1499678250670336,4.0,0.2899,0.1503,0.0499
15-2000,Operations Research Analysts (15-2),,,0.3132,0.2332,0.8168
17-1000,Landscape Architects (17-1),,,0.207,0.2434,0.8184
17-2000,Validation Engineers (17-2),,,0.2592,0.2412,0.819
17-3000,Electrical and Electronics Drafters (17-3),,,0.1733,0.2092,0.8202
19-1000,Microbiologists (19-1),,,0.2401,0.2328,0.819
19-2000,Astronomers (19-2),,,0.2671,0.2218,0.8181
19-3000,Industrial-Organizational Psychologists (19-3),,,0.326,0.2463,0.818
19-4000,Nuclear Monitoring Technicians (19-4),,,0.1869,0.2022,0.8212
19-5000,Occupational Health and Safety Specialists (19-5),,,,0.2187,1.0118
21-1000,Substance Abuse and Behavioral Disorder Counselors (21-1),,,0.2881,0.2412,0.8251
21-2000,Clergy (21-2),,,0.3367,0.2594,0.8328
23-1000,Judicial Law Clerks (23-1),0.2754559983204051,2.0,0.3546,0.2752,0.0749
23-2000,Paralegals and Legal Assistants (23-2),,,0.3302,0.2755,0.8189
25-1000,Business Teachers; Postsecondary (25-1),,,0.3468,0.2889,0.852
25-2000,Career/Technical Education Teachers; Middle School (25-2),,,0.2471,0.2464,0.8288
25-3000,Self-Enrichment Teachers (25-3),,,0.303,0.2739,0.84
25-4000,Curators (25-4),,,0.2093,0.2249,0.824
25-9000,Farm and Home Management Educators (25-9),,,0.2935,0.2662,0.8245
27-1000,Graphic Designers (27-1),,,0.1759,0.3517,0.8182
27-2000,Choreographers (27-2),,,0.1821,0.2568,0.822
27-3000,Broadcast Announcers and Radio Disc Jockeys (27-3),0.3727128765446731,1.0,0.3187,0.3717,0.0995
27-4000,Broadcast Technicians (27-4),,,0.1617,0.2735,0.8211
29-1000,Critical Care Nurses (29-1),-0.0377511282036037,1.0,0.1959,-0.0353,0.0995
29-2000,Cytotechnologists (29-2),,,0.151,0.1862,0.8298
29-9000,Genetic Counselors (29-9),,,0.2333,0.2067,0.8577
31-1000,Psychiatric Aides (31-1),,,,0.1919,1.0722
31-2000,Occupational Therapy Assistants (31-2),,,0.1277,0.1734,0.8513
31-9000,Dental Assistants (31-9),,,0.1577,0.1948,0.8264
33-1000,First-Line Supervisors of Correctional Officers (33-1),,,0.1188,0.1763,0.8277
33-2000,Firefighters (33-2),,,0.0952,0.1713,0.8295
33-3000,Bailiffs (33-3),,,0.124,0.1859,0.8209
33-9000,Retail Loss Prevention Specialists (33-9),,,0.1513,0.1945,0.8218
35-1000,First-Line Supervisors of Food Preparation and Serving Workers (35-1),,,0.1473,0.2075,0.8261
35-2000,Cooks; Restaurant (35-2),,,0.0894,0.1845,0.8272
35-3000,Baristas (35-3),,,0.1135,0.1812,0.8334
35-9000,Dishwashers (35-9),,,0.0538,0.1638,0.8277
39-1000,First-Line Supervisors of Gambling Services Workers (39-1),,,,0.2185,1.033
39-2000,Animal Caretakers (39-2),,,0.091,0.18,0.8424
39-3000,Costume Attendants (39-3),,,0.1561,0.1994,0.84
39-4000,Funeral Attendants (39-4),,,0.1294,0.1779,0.8429
39-5000,Hairdressers; Hairstylists; and Cosmetologists (39-5),,,0.121,0.2005,0.8326
39-6000,Baggage Porters and Bellhops (39-6),,,0.1761,0.2081,0.8369
39-7000,Tour Guides and Escorts (39-7),,,0.2442,0.2322,0.8441
39-9000,Childcare Workers (39-9),,,0.1478,0.1999,0.8372
41-1000,First-Line Supervisors of Retail Sales Workers (41-1),,,0.2545,0.2337,0.821
41-2000,Counter and Rental Clerks (41-2),,,0.1733,0.2046,0.8387
41-3000,Securities; Commodities; and Financial Services Sales Agents (41-3),,,0.3197,0.265,0.8231
41-4000,Sales Representatives; Wholesale and Manufacturing; Technical and Scientific Products (41-4),,,0.2848,0.2503,0.8311
41-9000,Telemarketers (41-9),0.0541394461006482,1.0,0.2757,0.0559,0.0995
43-1000,First-Line Supervisors of Office and Administrative Support Workers (43-1),,,0.3032,0.2512,0.8185
43-2000,Switchboard Operators; Including Answering Service (43-2),,,0.3265,0.2661,0.825
43-3000,Billing and Posting Clerks (43-3),,,0.2852,0.2493,0.8211
43-4000,Eligibility Interviewers; Government Programs (43-4),0.2372468472593002,2.0,0.2903,0.2372,0.0705
43-5000,Freight Forwarders (43-5),,,0.1644,0.1998,0.8311
43-6000,Executive Secretaries and Executive Administrative Assistants (43-6),,,0.3113,0.2559,0.8298
43-9000,Insurance Claims and Policy Processing Clerks (43-9),,,0.2199,0.2314,0.8206
