activity,observed,n_studies,estimate,posterior_std
Analyzing Data or Information,0.0924851552355073,5.0,0.0926,0.0447
Assisting and Caring for Others,,,0.1199,0.9809
Communicating with People Outside the Organization,,,0.2082,1.4512
Communicating with Supervisors; Peers; or Subordinates,0.2313636418615573,1.0,0.231,0.0994
Documenting/Recording Information,0.1362651337155893,2.0,0.1364,0.0706
Establishing and Maintaining Interpersonal Relationships,,,0.1851,0.7899
Evaluating Information to Determine Compliance with Standards,,,0.1979,1.6859
Getting Information,0.3056756374997935,1.0,0.3041,0.0992
Handling and Moving Objects,,,0.192,1.37
Identifying Objects; Actions; and Events,,,0.1755,1.3782
Making Decisions and Solving Problems,0.1952577674013655,1.0,0.1953,0.0994
Monitoring Processes; Materials; or Surroundings,,,0.1726,1.7071
Organizing; Planning; and Prioritizing Work,,,0.2118,1.0494
Performing for or Working Directly with the Public,,,0.1594,1.0135
Processing Information,0.2227585011587381,5.0,0.2227,0.0447
Thinking Creatively,0.549291539758391,3.0,0.5486,0.0577
Training and Teaching Others,,,0.2354,1.7671
Updating and Using Relevant Knowledge,,,0.1759,0.9673
Working with Computers,0.2611534351592363,11.0,0.2611,0.0301
