activity,observed,n_studies,estimate,posterior_std
Analyzing Data or Information,0.011727583053967785,4.0,0.0132,0.0499
Assisting and Caring for Others,,,0.2443,0.5955
Communicating with People Outside the Organization,0.23136364186155733,1.0,0.2324,0.0992
Communicating with Supervisors; Peers; or Subordinates,,,0.2983,0.5448
Documenting/Recording Information,0.04688358589885046,1.0,0.0495,0.0995
Establishing and Maintaining Interpersonal Relationships,,,0.2941,0.4456
Getting Information,0.3056756374997935,1.0,0.3051,0.0979
Handling and Moving Objects,,,0.2756,0.7196
Identifying Objects; Actions; and Events,,,0.2756,0.8432
Making Decisions and Solving Problems,,,0.266,0.6134
Monitoring Processes; Materials; or Surroundings,0.09447675960815247,1.0,0.0945,0.0178
Organizing; Planning; and Prioritizing Work,,,0.312,0.5974
Performing for or Working Directly with the Public,,,0.2746,0.5517
Processing Information,0.2625231020213536,3.0,0.2628,0.0575
Thinking Creatively,0.4274410518727558,2.0,0.4273,0.0703
Training and Teaching Others,,,0.3405,1.0138
Updating and Using Relevant Knowledge,,,0.2723,0.5576
Working with Computers,0.22700845562288027,9.0,0.2271,0.0333
