code,title,observed,n_studies,aioe_baseline,estimate,posterior_std
13-1000,Agents and Business Managers of Artists; Performers; and Athletes (13-1),0.12588024588900293,1.0,0.4583,0.1272,0.0995
13-2000,Accountants and Auditors (13-2),0.28548344827308075,3.0,0.5274,0.2853,0.0576
15-1000,Telecommunications Engineering Specialists (15-1),0.23704046795833483,6.0,0.4736,0.2371,0.0408
15-2000,Operations Research Analysts (15-2),,,0.5143,0.2799,0.8172
17-1000,Landscape Architects (17-1),,,0.3288,0.2875,0.8195
17-2000,Validation Engineers (17-2),,,0.4201,0.3034,0.8241
17-3000,Electrical and Electronics Drafters (17-3),,,0.2698,0.2484,0.8214
19-1000,Microbiologists (19-1),,,0.3865,0.2881,0.8206
19-2000,Astronomers (19-2),,,0.4339,0.2693,0.8184
19-3000,Industrial-Organizational Psychologists (19-3),,,0.5368,0.3223,0.8187
19-4000,Nuclear Monitoring Technicians (19-4),,,0.2936,0.2496,0.8214
19-5000,Occupational Health and Safety Specialists (19-5),,,,0.2517,1.0213
21-1000,Substance Abuse and Behavioral Disorder Counselors (21-1),,,0.4705,0.3339,0.8287
21-2000,Clergy (21-2),,,0.5554,0.3751,0.8383
23-1000,Judicial Law Clerks (23-1),0.2505513399263667,2.0,0.5867,0.2507,0.0705
23-2000,Paralegals and Legal Assistants (23-2),,,0.544,0.3559,0.8195
25-1000,Business Teachers; Postsecondary (25-1),,,0.573,0.3948,0.8596
25-2000,Career/Technical Education Teachers; Middle School (25-2),,,0.3988,0.3317,0.833
25-3000,Self-Enrichment Teachers (25-3),,,0.4965,0.3567,0.8399
25-4000,Curators (25-4),,,0.3328,0.2916,0.8271
25-9000,Farm and Home Management Educators (25-9),,,0.48,0.3554,0.8288
27-1000,Graphic Designers (27-1),0.7929925155296614,1.0,0.2744,0.7889,0.0995
27-2000,Choreographers (27-2),,,0.2853,0.3043,0.8244
27-3000,Broadcast Announcers and Radio Disc Jockeys (27-3),0.3727128765446731,1.0,0.5239,0.3717,0.0995
27-4000,Broadcast Technicians (27-4),,,0.2496,0.2976,0.8229
29-1000,Critical Care Nurses (29-1),-0.037751128203603754,1.0,0.3094,-0.0349,0.0995
29-2000,Cytotechnologists (29-2),,,0.2309,0.2385,0.8321
29-9000,Genetic Counselors (29-9),,,0.3748,0.2887,0.8634
31-1000,Psychiatric Aides (31-1),,,,0.2413,1.0812
31-2000,Occupational Therapy Assistants (31-2),,,0.1902,0.2271,0.8563
31-9000,Dental Assistants (31-9),,,0.2427,0.243,0.827
39-1000,First-Line Supervisors of Gambling Services Workers (39-1),,,,0.2782,1.0535
39-2000,Animal Caretakers (39-2),,,0.1261,0.2318,0.8544
39-3000,Costume Attendants (39-3),,,0.2399,0.2662,0.8462
39-4000,Funeral Attendants (39-4),,,0.1931,0.2455,0.8516
39-5000,Hairdressers; Hairstylists; and Cosmetologists (39-5),,,0.1786,0.2491,0.8359
39-6000,Baggage Porters and Bellhops (39-6),,,0.2748,0.2818,0.8435
39-7000,Tour Guides and Escorts (39-7),,,0.3938,0.3103,0.8392
39-9000,Childcare Workers (39-9),,,0.2253,0.2581,0.8408
41-1000,First-Line Supervisors of Retail Sales Workers (41-1),,,0.4118,0.3267,0.8342
41-2000,Counter and Rental Clerks (41-2),,,0.2698,0.2714,0.8437
41-3000,Securities; Commodities; and Financial Services Sales Agents (41-3),,,0.5258,0.3583,0.8234
41-4000,Sales Representatives; Wholesale and Manufacturing; Technical and Scientific Products (41-4),,,0.4647,0.3484,0.8364
41-9000,Telemarketers (41-9),0.05413944610064823,1.0,0.4489,0.0564,0.0995
43-1000,First-Line Supervisors of Office and Administrative Support Workers (43-1),,,0.4968,0.3396,0.8222
43-2000,Switchboard Operators; Including Answering Service (43-2),,,0.5376,0.3615,0.8283
43-3000,Billing and Posting Clerks (43-3),,,0.4655,0.3396,0.8239
43-4000,Eligibility Interviewers; Government Programs (43-4),0.23724684725930023,2.0,0.4743,0.2374,0.0705
43-5000,Freight Forwarders (43-5),,,0.2543,0.2572,0.8364
43-6000,Executive Secretaries and Executive Administrative Assistants (43-6),,,0.511,0.3629,0.8361
43-9000,Insurance Claims and Policy Processing Clerks (43-9),,,0.3513,0.298,0.8227
