code,title,observed,n_studies,estimate,posterior_std
13-1000,Agents and Business Managers of Artists; Performers; and Athletes (13-1),0.4663909927283951,2.0,0.466,0.0703
13-2000,Accountants and Auditors (13-2),0.0011783133481217194,2.0,0.0012,0.0047
15-1000,Telecommunications Engineering Specialists (15-1),0.10165040528573137,1.0,0.1023,0.0478
15-2000,Operations Research Analysts (15-2),,,0.4723,1.0022
17-1000,Landscape Architects (17-1),,,0.3674,1.0057
17-2000,Validation Engineers (17-2),,,0.4282,1.008
17-3000,Electrical and Electronics Drafters (17-3),,,0.3865,1.0134
19-1000,Microbiologists (19-1),,,0.4057,1.009
19-2000,Astronomers (19-2),,,0.4528,1.0084
19-3000,Industrial-Organizational Psychologists (19-3),,,0.441,1.0117
19-4000,Nuclear Monitoring Technicians (19-4),,,0.3915,1.0156
19-5000,Occupational Health and Safety Specialists (19-5),,,0.389,1.0327
21-1000,Substance Abuse and Behavioral Disorder Counselors (21-1),,,0.3728,1.0389
21-2000,Clergy (21-2),,,0.3596,1.0629
23-1000,Judicial Law Clerks (23-1),0.30701549803641615,2.0,0.3118,0.1792
23-2000,Paralegals and Legal Assistants (23-2),,,0.366,1.0396
25-1000,Business Teachers; Postsecondary (25-1),,,0.369,1.0812
25-2000,Career/Technical Education Teachers; Middle School (25-2),,,0.3488,1.044
25-3000,Self-Enrichment Teachers (25-3),,,0.3414,1.0693
25-4000,Curators (25-4),,,0.3529,1.0329
25-9000,Farm and Home Management Educators (25-9),,,0.3394,1.0404
27-1000,Graphic Designers (27-1),,,0.1675,1.0067
27-2000,Choreographers (27-2),,,0.3094,1.0238
27-3000,Broadcast Announcers and Radio Disc Jockeys (27-3),0.14282137790441232,1.0,0.1431,0.0365
27-4000,Broadcast Technicians (27-4),,,0.2837,1.0084
29-1000,Critical Care Nurses (29-1),,,0.3996,1.042
29-2000,Cytotechnologists (29-2),,,0.3842,1.0397
29-9000,Genetic Counselors (29-9),,,0.4012,1.0934
31-1000,Psychiatric Aides (31-1),,,0.3678,1.1226
31-2000,Occupational Therapy Assistants (31-2),,,0.3661,1.1063
31-9000,Dental Assistants (31-9),,,0.3689,1.0405
39-1000,First-Line Supervisors of Gambling Services Workers (39-1),,,0.366,1.0735
39-2000,Animal Caretakers (39-2),,,0.376,1.0859
39-3000,Costume Attendants (39-3),,,0.3532,1.0792
39-4000,Funeral Attendants (39-4),,,0.3624,1.0941
39-5000,Hairdressers; Hairstylists; and Cosmetologists (39-5),,,0.3384,1.056
39-6000,Baggage Porters and Bellhops (39-6),,,0.3548,1.0782
39-7000,Tour Guides and Escorts (39-7),,,0.35,1.0876
39-9000,Childcare Workers (39-9),,,0.3536,1.069
41-1000,First-Line Supervisors of Retail Sales Workers (41-1),,,0.4001,1.0377
41-2000,Counter and Rental Clerks (41-2),,,0.362,1.0726
41-3000,Securities; Commodities; and Financial Services Sales Agents (41-3),,,0.3745,1.0301
41-4000,Sales Representatives; Wholesale and Manufacturing; Technical and Scientific Products (41-4),,,0.3698,1.0528
41-9000,Telemarketers (41-9),0.5802411227104969,1.0,0.568,0.2384
43-1000,First-Line Supervisors of Office and Administrative Support Workers (43-1),,,0.4005,1.0134
43-2000,Switchboard Operators; Including Answering Service (43-2),,,0.3618,1.0445
43-3000,Billing and Posting Clerks (43-3),,,0.3757,1.0218
43-4000,Eligibility Interviewers; Government Programs (43-4),0.033835583753123226,1.0,0.034,0.023
43-5000,Freight Forwarders (43-5),,,0.3657,1.0572
43-6000,Executive Secretaries and Executive Administrative Assistants (43-6),,,0.3635,1.0501
43-9000,Insurance Claims and Policy Processing Clerks (43-9),,,0.3712,1.0194
