activity,observed,n_studies,estimate,posterior_std
Analyzing Data or Information,0.6187454499366066,3.0,0.6153,0.1162
Assisting and Caring for Others,,,0.3342,1.1393
Communicating with People Outside the Organization,,,0.2791,1.555
Communicating with Supervisors; Peers; or Subordinates,,,0.2623,1.0344
Documenting/Recording Information,0.32228412256267414,1.0,0.3219,0.2067
Establishing and Maintaining Interpersonal Relationships,,,0.3038,0.8722
Evaluating Information to Determine Compliance with Standards,,,0.262,1.768
Getting Information,,,0.2788,0.8443
Handling and Moving Objects,,,0.2615,1.4283
Identifying Objects; Actions; and Events,,,0.3042,1.4509
Interpreting the Meaning of Information for Others,0.5887448327373892,1.0,0.5851,0.297
Making Decisions and Solving Problems,0.6018357252619212,1.0,0.5928,0.1695
Monitoring Processes; Materials; or Surroundings,,,0.3193,1.8104
Organizing; Planning; and Prioritizing Work,,,0.2455,1.1628
Performing for or Working Directly with the Public,,,0.3393,1.0738
Processing Information,0.392791102839755,6.0,0.3928,0.0148
Thinking Creatively,0.06420731866501303,4.0,0.0646,0.0627
Training and Teaching Others,,,0.3182,1.9232
Updating and Using Relevant Knowledge,0.4119263278737213,1.0,0.4042,0.2409
Working with Computers,0.4492359932088285,1.0,0.4477,0.0957
