activity,observed,n_studies,estimate,posterior_std
Analyzing Data or Information,0.011727583053967785,4.0,0.0132,0.0499
Assisting and Caring for Others,,,0.2357,0.559
Communicating with People Outside the Organization,0.23136364186155733,1.0,0.2323,0.0991
Communicating with Supervisors; Peers; or Subordinates,,,0.28,0.5012
Documenting/Recording Information,0.04688358589885046,1.0,0.0497,0.0994
Establishing and Maintaining Interpersonal Relationships,,,0.2771,0.4105
Evaluating Information to Determine Compliance with Standards,,,0.2548,0.9943
Getting Information,0.3056756374997935,1.0,0.3045,0.0977
Handling and Moving Objects,,,0.2555,0.6202
Identifying Objects; Actions; and Events,,,0.2546,0.7037
Making Decisions and Solving Problems,,,0.256,0.5771
Monitoring Processes; Materials; or Surroundings,0.09447675960815247,1.0,0.0945,0.0178
Organizing; Planning; and Prioritizing Work,,,0.298,0.5636
Performing for or Working Directly with the Public,,,0.2603,0.505
Processing Information,0.2625231020213536,3.0,0.2627,0.0575
Thinking Creatively,0.4274410518727558,2.0,0.4272,0.0703
Training and Teaching Others,,,0.3213,0.9465
Updating and Using Relevant Knowledge,,,0.2635,0.5369
Working with Computers,0.22700845562288027,9.0,0.2271,0.0333
