activity,observed,n_studies,estimate,posterior_std
Analyzing Data or Information,0.011727583053967785,4.0,0.0133,0.0499
Assisting and Caring for Others,,,0.2391,0.5575
Communicating with People Outside the Organization,0.23136364186155733,1.0,0.2327,0.099
Communicating with Supervisors; Peers; or Subordinates,,,0.2909,0.4683
Documenting/Recording Information,0.04688358589885046,1.0,0.0498,0.0994
Establishing and Maintaining Interpersonal Relationships,,,0.2889,0.3872
Evaluating Information to Determine Compliance with Standards,,,0.2613,0.9669
Getting Information,0.3056756374997935,1.0,0.3047,0.0976
Handling and Moving Objects,,,0.2591,0.6187
Identifying Objects; Actions; and Events,,,0.2598,0.6941
Making Decisions and Solving Problems,,,0.2672,0.5457
Monitoring Processes; Materials; or Surroundings,0.09447675960815247,1.0,0.0946,0.0178
Organizing; Planning; and Prioritizing Work,,,0.3069,0.5239
Performing for or Working Directly with the Public,,,0.2641,0.5021
Processing Information,0.2625231020213536,3.0,0.2628,0.0575
Thinking Creatively,0.4274410518727558,2.0,0.4273,0.0703
Training and Teaching Others,,,0.325,0.9255
Updating and Using Relevant Knowledge,,,0.2682,0.5287
Working with Computers,0.22700845562288027,9.0,0.2271,0.0333
