activity,observed,n_studies,estimate,posterior_std
Analyzing Data or Information,0.011727583053967785,4.0,0.0122,0.05
Assisting and Caring for Others,,,0.1585,0.981
Communicating with People Outside the Organization,0.23136364186155733,1.0,0.2316,0.0998
Communicating with Supervisors; Peers; or Subordinates,,,0.2625,0.9356
Documenting/Recording Information,0.04688358589885046,1.0,0.0476,0.0998
Establishing and Maintaining Interpersonal Relationships,,,0.243,0.7912
Evaluating Information to Determine Compliance with Standards,,,0.2394,1.6864
Getting Information,0.3056756374997935,1.0,0.3046,0.0992
Handling and Moving Objects,,,0.2373,1.3705
Identifying Objects; Actions; and Events,,,0.2226,1.3788
Making Decisions and Solving Problems,,,0.2323,0.9351
Monitoring Processes; Materials; or Surroundings,0.09447675960815247,1.0,0.0945,0.0178
Organizing; Planning; and Prioritizing Work,,,0.2757,1.0506
Performing for or Working Directly with the Public,,,0.2003,1.014
Processing Information,0.2625231020213536,3.0,0.2625,0.0577
Thinking Creatively,0.4274410518727558,2.0,0.4274,0.0706
Training and Teaching Others,,,0.3129,1.7679
Updating and Using Relevant Knowledge,,,0.2311,0.9679
Working with Computers,0.22700845562288027,9.0,0.227,0.0333
