code,title,observed,n_studies,aioe_baseline,estimate,posterior_std
11,Management,,,0.4538,0.3125,0.845
13,Business & Financial,0.23228238081172145,4.0,0.4776,0.2323,0.0499
15,Computer & Math,0.23704046795833483,6.0,0.5075,0.237,0.0408
17,Architecture & Engineering,,,0.3681,0.2751,0.8325
19,Life; Physical; Social Science,,,0.4228,0.2764,0.8243
21,Community & Social Service,,,0.4826,0.31,0.8512
23,Legal,0.2505513399263667,2.0,0.5745,0.2505,0.0706
25,Education,,,0.5178,0.3528,0.8865
27,Arts; Design; Media,0.5828526960371673,2.0,0.3224,0.5815,0.0705
29,Healthcare Practitioners,-0.037751128203603754,1.0,0.2798,-0.0354,0.0996
31,Healthcare Support,,,0.2277,0.2034,0.8711
33,Protective Service,,,0.1922,0.2079,0.8377
35,Food Prep & Serving,,,0.1334,0.2052,0.8586
39,Personal Care & Service,,,0.2239,0.2262,0.8693
41,Sales,0.05413944610064823,1.0,0.4196,0.056,0.0996
43,Office & Admin Support,0.23724684725930023,2.0,0.4054,0.2373,0.0705
