activity,observed,n_studies,estimate,posterior_std
Analyzing Data or Information,0.011727583053967785,4.0,0.0314,0.0486
Assisting and Caring for Others,,,0.2709,0.1906
Communicating with People Outside the Organization,0.23136364186155733,1.0,0.2456,0.0936
Communicating with Supervisors; Peers; or Subordinates,,,0.3192,0.1623
Documenting/Recording Information,0.04688358589885046,1.0,0.074,0.0944
Establishing and Maintaining Interpersonal Relationships,,,0.3271,0.1496
Evaluating Information to Determine Compliance with Standards,,,0.3082,0.2947
Getting Information,0.3056756374997935,1.0,0.3117,0.0839
Handling and Moving Objects,,,0.2139,0.3004
Identifying Objects; Actions; and Events,,,0.2865,0.2398
Making Decisions and Solving Problems,,,0.3095,0.1654
Monitoring Processes; Materials; or Surroundings,0.09447675960815247,1.0,0.0952,0.0178
Organizing; Planning; and Prioritizing Work,,,0.3317,0.1772
Performing for or Working Directly with the Public,,,0.2875,0.2232
Processing Information,0.2625231020213536,3.0,0.2661,0.0553
Thinking Creatively,0.4274410518727558,2.0,0.4188,0.0672
Training and Teaching Others,,,0.3994,0.2671
Updating and Using Relevant Knowledge,,,0.3091,0.1552
Working with Computers,0.22700845562288027,9.0,0.2284,0.0331
