code,title,observed,n_studies,estimate,posterior_std
11-1011.00,Chief Executives,,,0.4441,1.0086
11-1011.03,Chief Sustainability Officers,,,0.4311,1.0077
11-1021.00,General and Operations Managers,,,0.443,1.0056
11-2011.00,Advertising and Promotions Managers,,,0.4161,1.0148
11-2021.00,Marketing Managers,,,0.4232,1.0091
11-2022.00,Sales Managers,,,0.4398,1.0075
11-2033.00,Fundraising Managers,,,0.4223,1.0072
11-3012.00,Administrative Services Managers,,,0.4252,1.0073
11-3013.00,Facilities Managers,,,0.4277,1.0067
11-3013.01,Security Managers,,,0.4526,1.0047
11-3021.00,Computer and Information Systems Managers,,,0.4402,1.0029
11-3031.00,Financial Managers,,,0.4357,1.0041
11-3031.01,Treasurers and Controllers,,,0.4831,1.0033
11-3031.03,Investment Fund Managers,,,0.4839,1.004
11-3051.00,Industrial Production Managers,,,0.4353,1.0054
11-3051.01,Quality Control Systems Managers,,,0.432,1.0059
11-3051.02,Geothermal Production Managers,,,0.4248,1.0082
11-3051.03,Biofuels Production Managers,,,0.4394,1.0059
11-3051.04,Biomass Power Plant Managers,,,0.4214,1.0073
11-3051.06,Hydroelectric Production Managers,,,0.4335,1.006
11-3061.00,Purchasing Managers,,,0.431,1.007
11-3071.00,Transportation; Storage; and Distribution Managers,,,0.4339,1.0058
11-3071.04,Supply Chain Managers,,,0.4406,1.0061
11-3111.00,Compensation and Benefits Managers,,,0.4286,1.0071
11-3121.00,Human Resources Managers,,,0.4302,1.0089
11-3131.00,Training and Development Managers,,,0.416,1.0169
11-9013.00,Farmers; Ranchers; and Other Agricultural Managers,,,0.4323,1.0058
11-9021.00,Construction Managers,,,0.4287,1.0071
11-9031.00,Education and Childcare Administrators; Preschool and Daycare,,,0.4207,1.0076
11-9032.00,Education Administrators; Kindergarten through Secondary,,,0.4312,1.0108
11-9033.00,Education Administrators; Postsecondary,,,0.4437,1.0057
11-9041.00,Architectural and Engineering Managers,,,0.4326,1.0056
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,,,0.4546,1.0015
11-9051.00,Food Service Managers,,,0.4246,1.0125
11-9071.00,Gambling Managers,,,0.4252,1.0081
11-9072.00,Entertainment and Recreation Managers; Except Gambling,,,0.415,1.007
11-9081.00,Lodging Managers,,,0.438,1.0055
11-9111.00,Medical and Health Services Managers,,,0.4332,1.0049
11-9121.00,Natural Sciences Managers,,,0.4338,1.0053
11-9121.01,Clinical Research Coordinators,,,0.4171,1.0117
11-9121.02,Water Resource Specialists,,,0.4872,1.0026
11-9131.00,Postmasters and Mail Superintendents,,,0.4315,1.0081
11-9141.00,Property; Real Estate; and Community Association Managers,,,0.4476,1.0054
11-9151.00,Social and Community Service Managers,,,0.4226,1.0076
11-9161.00,Emergency Management Directors,,,0.4345,1.0082
11-9171.00,Funeral Home Managers,,,0.4174,1.0129
11-9179.01,Fitness and Wellness Coordinators,,,0.4172,1.008
11-9179.02,Spa Managers,,,0.4275,1.0059
11-9199.01,Regulatory Affairs Managers,,,0.4341,1.0088
11-9199.02,Compliance Managers,,,0.4287,1.0089
11-9199.08,Loss Prevention Managers,,,0.4404,1.006
11-9199.09,Wind Energy Operations Managers,,,0.4302,1.006
11-9199.10,Wind Energy Development Managers,,,0.4376,1.0127
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,,,0.4448,1.0068
13-1011.00,Agents and Business Managers of Artists; Performers; and Athletes,,,0.3662,1.0063
13-1021.00,Buyers and Purchasing Agents; Farm Products,,,0.4316,1.0051
13-1022.00,Wholesale and Retail Buyers; Except Farm Products,,,0.4274,1.0063
13-1023.00,Purchasing Agents; Except Wholesale; Retail; and Farm Products,,,0.4301,1.0067
13-1031.00,Claims Adjusters; Examiners; and Investigators,,,0.437,1.0058
13-1032.00,Insurance Appraisers; Auto Damage,,,0.4268,1.0112
13-1041.00,Compliance Officers,,,0.4239,1.0058
13-1041.01,Environmental Compliance Inspectors,,,0.4245,1.0067
13-1041.03,Equal Opportunity Representatives and Officers,,,0.4368,1.0104
13-1041.04,Government Property Inspectors and Investigators,,,0.4293,1.0085
13-1041.06,Coroners,,,0.4336,1.0063
13-1041.07,Regulatory Affairs Specialists,,,0.4353,1.0073
13-1041.08,Customs Brokers,,,0.4263,1.0051
13-1051.00,Cost Estimators,,,0.5047,1.0027
13-1071.00,Human Resources Specialists,,,0.4271,1.0075
13-1074.00,Farm Labor Contractors,,,0.4328,1.0087
13-1075.00,Labor Relations Specialists,,,0.4477,1.0057
13-1081.00,Logisticians,,,0.4339,1.0071
13-1081.01,Logistics Engineers,,,0.4409,1.0033
13-1081.02,Logistics Analysts,,,0.4562,1.0024
13-1111.00,Management Analysts,2.140791781015457,1.0,2.1002,0.1546
13-1121.00,Meeting; Convention; and Event Planners,,,0.4186,1.0111
13-1131.00,Fundraisers,,,0.4286,1.0126
13-1141.00,Compensation; Benefits; and Job Analysis Specialists,,,0.4568,1.0043
13-1151.00,Training and Development Specialists,,,0.4218,1.0098
13-1161.00,Market Research Analysts and Marketing Specialists,,,0.5018,1.0022
13-1161.01,Search Marketing Strategists,,,0.4318,1.0042
13-1199.04,Business Continuity Planners,,,0.4294,1.0066
13-1199.05,Sustainability Specialists,,,0.4302,1.0082
13-1199.06,Online Merchants,0.03995295962367699,1.0,0.0424,0.0787
13-1199.07,Security Management Specialists,,,0.4327,1.005
13-2011.00,Accountants and Auditors,,,0.4382,1.0037
13-2022.00,Appraisers of Personal and Business Property,,,0.4455,1.0037
13-2023.00,Appraisers and Assessors of Real Estate,,,0.4463,1.0033
13-2031.00,Budget Analysts,,,0.4306,1.0039
13-2041.00,Credit Analysts,,,0.5204,1.003
13-2052.00,Personal Financial Advisors,,,0.4753,1.0028
