code,title,observed,n_studies,aioe_baseline,estimate,posterior_std
11-1011.00,Chief Executives,,,0.5336,0.3681,0.8177
11-1011.03,Chief Sustainability Officers,,,0.5336,0.3707,0.8174
11-1021.00,General and Operations Managers,,,0.4009,0.3163,0.8173
11-2011.00,Advertising and Promotions Managers,,,0.5142,0.361,0.8172
11-2021.00,Marketing Managers,,,0.5115,0.3666,0.8176
11-2022.00,Sales Managers,,,0.5304,0.3687,0.8177
11-2033.00,Fundraising Managers,,,,0.2849,1.0016
11-3012.00,Administrative Services Managers,,,,0.2829,1.0015
11-3013.00,Facilities Managers,,,,0.2821,1.0015
11-3013.01,Security Managers,,,,0.2759,1.0017
11-3021.00,Computer and Information Systems Managers,,,0.457,0.3266,0.817
11-3031.00,Financial Managers,,,0.5306,0.3624,0.8173
11-3031.01,Treasurers and Controllers,,,0.5306,0.3475,0.8172
11-3031.03,Investment Fund Managers,,,0.5306,0.3365,0.8169
11-3051.00,Industrial Production Managers,,,0.3327,0.29,0.8172
11-3051.01,Quality Control Systems Managers,,,0.3327,0.2788,0.8172
11-3051.02,Geothermal Production Managers,,,0.3327,0.2927,0.8173
11-3051.03,Biofuels Production Managers,,,0.3327,0.2869,0.8172
11-3051.04,Biomass Power Plant Managers,,,0.3327,0.2875,0.8172
11-3051.06,Hydroelectric Production Managers,,,0.3327,0.2878,0.8173
11-3061.00,Purchasing Managers,,,0.5513,0.3732,0.8174
11-3071.00,Transportation; Storage; and Distribution Managers,,,0.4486,0.3361,0.8173
11-3071.04,Supply Chain Managers,,,0.4486,0.3359,0.8175
11-3111.00,Compensation and Benefits Managers,,,0.5668,0.3776,0.8174
11-3121.00,Human Resources Managers,,,0.5441,0.3763,0.8181
11-3131.00,Training and Development Managers,,,0.5395,0.3803,0.8184
11-9013.00,Farmers; Ranchers; and Other Agricultural Managers,,,0.225,0.2602,0.8173
11-9021.00,Construction Managers,,,0.392,0.3112,0.8173
11-9031.00,Education and Childcare Administrators; Preschool and Daycare,,,0.4617,0.348,0.8175
11-9032.00,Education Administrators; Kindergarten through Secondary,,,0.5105,0.3634,0.8178
11-9033.00,Education Administrators; Postsecondary,,,0.5832,0.3858,0.8175
11-9041.00,Architectural and Engineering Managers,,,0.3943,0.3217,0.8172
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,,,0.3943,0.2974,0.8169
11-9051.00,Food Service Managers,,,0.2711,0.2795,0.8177
11-9071.00,Gambling Managers,,,0.4095,0.3225,0.8176
11-9072.00,Entertainment and Recreation Managers; Except Gambling,,,,0.2964,1.0017
11-9081.00,Lodging Managers,,,0.3559,0.31,0.8175
11-9111.00,Medical and Health Services Managers,,,0.5348,0.3603,0.8174
11-9121.00,Natural Sciences Managers,,,0.5193,0.3462,0.8172
11-9121.01,Clinical Research Coordinators,,,0.5193,0.343,0.8173
11-9121.02,Water Resource Specialists,,,0.5193,0.3387,0.817
11-9131.00,Postmasters and Mail Superintendents,,,0.4404,0.3367,0.8178
11-9141.00,Property; Real Estate; and Community Association Managers,,,0.5138,0.3638,0.8175
11-9151.00,Social and Community Service Managers,,,0.5159,0.3602,0.8174
11-9161.00,Emergency Management Directors,,,0.4478,0.3367,0.8174
11-9171.00,Funeral Home Managers,,,,0.2821,1.0021
11-9179.01,Fitness and Wellness Coordinators,,,,0.2961,1.0023
11-9179.02,Spa Managers,,,,0.2757,1.0016
11-9199.01,Regulatory Affairs Managers,,,0.4497,0.3342,0.8174
11-9199.02,Compliance Managers,,,0.4497,0.3321,0.8174
11-9199.08,Loss Prevention Managers,,,0.4497,0.3358,0.8174
11-9199.09,Wind Energy Operations Managers,,,0.4497,0.3354,0.8175
11-9199.10,Wind Energy Development Managers,,,0.4497,0.333,0.8173
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,,,0.4497,0.3307,0.8172
13-1011.00,Agents and Business Managers of Artists; Performers; and Athletes,,,0.5208,0.3768,0.8173
13-1021.00,Buyers and Purchasing Agents; Farm Products,,,0.4133,0.3238,0.8172
13-1022.00,Wholesale and Retail Buyers; Except Farm Products,,,0.4246,0.3252,0.8172
13-1023.00,Purchasing Agents; Except Wholesale; Retail; and Farm Products,,,0.5729,0.3729,0.8172
13-1031.00,Claims Adjusters; Examiners; and Investigators,,,0.4909,0.3398,0.8173
13-1032.00,Insurance Appraisers; Auto Damage,,,0.3807,0.3056,0.8175
13-1041.00,Compliance Officers,,,0.3786,0.2989,0.8171
13-1041.01,Environmental Compliance Inspectors,,,0.3786,0.3053,0.8172
13-1041.03,Equal Opportunity Representatives and Officers,,,0.3786,0.3067,0.8176
13-1041.04,Government Property Inspectors and Investigators,,,0.3786,0.3065,0.8174
13-1041.06,Coroners,,,0.3786,0.3067,0.8172
13-1041.07,Regulatory Affairs Specialists,,,0.3786,0.3103,0.8173
13-1041.08,Customs Brokers,,,0.3786,0.3067,0.817
13-1051.00,Cost Estimators,,,0.4968,0.3222,0.8169
13-1071.00,Human Resources Specialists,,,0.5858,0.3834,0.8175
13-1074.00,Farm Labor Contractors,,,0.1733,0.234,0.8174
13-1075.00,Labor Relations Specialists,,,0.5592,0.3807,0.8189
13-1081.00,Logisticians,,,0.4856,0.3443,0.8173
13-1081.01,Logistics Engineers,,,0.4856,0.334,0.817
13-1081.02,Logistics Analysts,,,0.4856,0.3314,0.817
13-1111.00,Management Analysts,0.12588024588900293,1.0,0.5839,0.1274,0.0995
13-1121.00,Meeting; Convention; and Event Planners,,,0.3662,0.3135,0.8176
13-1131.00,Fundraisers,,,0.5538,0.3751,0.8176
13-1141.00,Compensation; Benefits; and Job Analysis Specialists,,,0.5447,0.3549,0.8172
13-1151.00,Training and Development Specialists,,,0.5365,0.3756,0.8178
13-1161.00,Market Research Analysts and Marketing Specialists,,,0.5435,0.3401,0.817
13-1161.01,Search Marketing Strategists,,,0.5435,0.3623,0.8171
13-1199.04,Business Continuity Planners,,,0.4528,0.333,0.8173
13-1199.05,Sustainability Specialists,,,0.4528,0.3314,0.8172
13-1199.06,Online Merchants,,,0.4528,0.3292,0.817
13-1199.07,Security Management Specialists,,,0.4528,0.3367,0.8172
13-2011.00,Accountants and Auditors,0.4155154439616658,1.0,0.5136,0.414,0.0995
13-2022.00,Appraisers of Personal and Business Property,,,,0.2536,1.0011
13-2023.00,Appraisers and Assessors of Real Estate,,,,0.2418,1.0007
13-2031.00,Budget Analysts,,,0.5317,0.3526,0.8171
13-2041.00,Credit Analysts,,,0.4879,0.3074,0.8169
13-2052.00,Personal Financial Advisors,,,0.5519,0.3513,0.817
13-2053.00,Insurance Underwriters,,,0.5237,0.3476,0.8171
13-2061.00,Financial Examiners,,,0.5439,0.3504,0.8173
13-2071.00,Credit Counselors,,,0.5433,0.3591,0.8171
13-2072.00,Loan Officers,,,0.5689,0.3634,0.8172
13-2081.00,Tax Examiners and Collectors; and Revenue Agents,,,0.5218,0.3555,0.8173
13-2082.00,Tax Preparers,,,0.4989,0.3459,0.8172
13-2099.01,Financial Quantitative Analysts,0.15545145258449572,2.0,0.5218,0.1559,0.0705
13-2099.04,Fraud Examiners; Investigators and Analysts,,,0.5218,0.3405,0.817
15-1211.00,Computer Systems Analysts,,,,0.256,1.0008
15-1211.01,Health Informatics Specialists,,,,0.2702,1.0012
15-1212.00,Information Security Analysts,0.19525776740136555,1.0,,0.1959,0.0995
15-1221.00,Computer and Information Research Scientists,,,,0.2598,1.0007
15-1231.00,Computer Network Support Specialists,,,,0.2658,1.0012
15-1232.00,Computer User Support Specialists,,,,0.2694,1.0011
15-1241.00,Computer Network Architects,,,,0.2588,1.0008
15-1241.01,Telecommunications Engineering Specialists,,,,0.2711,1.0012
15-1242.00,Database Administrators,,,,0.2536,1.0006
15-1243.00,Database Architects,,,,0.2414,1.0006
15-1243.01,Data Warehousing Specialists,,,,0.234,1.0004
15-1244.00,Network and Computer Systems Administrators,,,,0.2606,1.0007
15-1251.00,Computer Programmers,,,,0.2489,1.0004
15-1252.00,Software Developers,0.2788231685153041,5.0,0.4736,0.2788,0.0447
15-1253.00,Software Quality Assurance Analysts and Testers,,,,0.2637,1.001
15-1254.00,Web Developers,,,,0.298,1.0009
15-1255.01,Video Game Designers,,,,0.3338,1.001
15-1299.01,Web Administrators,,,,0.2843,1.0008
15-1299.02,Geographic Information Systems Technologists and Technicians,,,,0.2431,1.0007
15-1299.03,Document Management Specialists,,,,0.2677,1.0013
15-1299.05,Information Security Engineers,,,,0.2501,1.0008
15-1299.08,Computer Systems Engineers/Architects,,,,0.2588,1.0008
15-1299.09,Information Technology Project Managers,,,,0.2761,1.0016
15-2011.00,Actuaries,,,0.5107,0.3149,0.8169
15-2021.00,Mathematicians,,,0.5035,0.3529,0.8169
15-2031.00,Operations Research Analysts,,,0.5178,0.3377,0.817
15-2041.00,Statisticians,,,0.5197,0.3143,0.8169
15-2041.01,Biostatisticians,,,0.5197,0.3224,0.817
15-2051.01,Business Intelligence Analysts,,,,0.2267,1.0008
15-2051.02,Clinical Data Managers,,,,0.2516,1.0008
15-2099.01,Bioinformatics Technicians,,,,0.2367,1.0006
17-1011.00,Architects; Except Landscape and Naval,,,0.3866,0.3234,0.8171
17-1012.00,Landscape Architects,,,0.4341,0.3459,0.8171
17-1021.00,Cartographers and Photogrammetrists,,,0.3575,0.3009,0.817
17-1022.00,Surveyors,,,0.2328,0.2423,0.817
17-1022.01,Geodetic Surveyors,,,0.2328,0.236,0.8169
17-2011.00,Aerospace Engineers,,,0.4932,0.3359,0.8169
17-2021.00,Agricultural Engineers,,,0.4034,0.3044,0.817
17-2031.00,Bioengineers and Biomedical Engineers,,,0.4126,0.3083,0.8169
17-2041.00,Chemical Engineers,,,0.4488,0.316,0.8171
17-2051.00,Civil Engineers,,,0.4532,0.3362,0.8173
17-2051.01,Transportation Engineers,,,0.4532,0.333,0.8173
17-2051.02,Water/Wastewater Engineers,,,0.4532,0.3294,0.8172
17-2061.00,Computer Hardware Engineers,,,0.4638,0.3308,0.8169
17-2071.00,Electrical Engineers,,,0.4478,0.3274,0.8172
17-2072.00,Electronics Engineers; Except Computer,,,0.3544,0.2793,0.8168
17-2072.01,Radio Frequency Identification Device Specialists,,,0.3544,0.3063,0.817
17-2081.00,Environmental Engineers,,,0.4778,0.335,0.8171
17-2111.00,Health and Safety Engineers; Except Mining Safety Engineers and Inspectors,,,0.419,0.3222,0.8173
17-2111.02,Fire-Prevention and Protection Engineers,,,0.419,0.3257,0.8174
17-2112.00,Industrial Engineers,,,0.4486,0.3317,0.817
17-2112.01,Human Factors Engineers and Ergonomists,,,0.4486,0.3334,0.8172
17-2112.02,Validation Engineers,,,0.4486,0.3164,0.8175
17-2112.03,Manufacturing Engineers,,,0.4486,0.3242,0.817
17-2121.00,Marine Engineers and Naval Architects,,,0.3304,0.2871,0.8171
17-2131.00,Materials Engineers,,,0.4223,0.3073,0.817
17-2141.00,Mechanical Engineers,,,0.4009,0.3267,0.8171
17-2141.01,Fuel Cell Engineers,,,0.4009,0.2992,0.8171
17-2141.02,Automotive Engineers,,,0.4009,0.3048,0.8171
17-2151.00,Mining and Geological Engineers; Including Mining Safety Engineers,,,0.4751,0.3324,0.8171
17-2161.00,Nuclear Engineers,,,0.4839,0.331,0.8173
17-2171.00,Petroleum Engineers,,,0.4755,0.3326,0.817
17-2199.03,Energy Engineers; Except Wind and Solar,,,0.3805,0.3009,0.817
17-2199.05,Mechatronics Engineers,,,0.3805,0.3051,0.8169
17-2199.06,Microsystems Engineers,,,0.3805,0.3102,0.817
17-2199.07,Photonics Engineers,,,0.3805,0.2929,0.8169
17-2199.08,Robotics Engineers,,,0.3805,0.3103,0.8169
17-2199.09,Nanosystems Engineers,,,0.3805,0.285,0.8169
17-2199.10,Wind Energy Engineers,,,0.3805,0.3006,0.817
17-2199.11,Solar Energy Systems Engineers,,,0.3805,0.3042,0.8171
17-3011.00,Architectural and Civil Drafters,,,0.3748,0.3096,0.8171
17-3012.00,Electrical and Electronics Drafters,,,0.4004,0.3171,0.8172
17-3013.00,Mechanical Drafters,,,0.3386,0.2921,0.8169
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,,,0.3005,0.255,0.8169
17-3022.00,Civil Engineering Technologists and Technicians,,,0.3746,0.3018,0.8171
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,,,0.2747,0.2658,0.817
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,,,0.1388,0.2105,0.817
17-3024.01,Robotics Technicians,,,0.1388,0.2165,0.817
17-3025.00,Environmental Engineering Technologists and Technicians,,,0.2322,0.249,0.8172
17-3026.00,Industrial Engineering Technologists and Technicians,,,0.3312,0.2999,0.8172
17-3026.01,Nanotechnology Engineering Technologists and Technicians,,,0.3312,0.2809,0.8171
17-3027.00,Mechanical Engineering Technologists and Technicians,,,0.2006,0.2414,0.8171
17-3027.01,Automotive Engineering Technicians,,,0.2006,0.2339,0.8171
17-3029.01,Non-Destructive Testing Specialists,,,0.2416,0.2457,0.8173
17-3029.08,Photonics Technicians,,,0.2416,0.2468,0.8171
17-3031.00,Surveying and Mapping Technicians,,,0.1973,0.2281,0.8169
19-1011.00,Animal Scientists,,,0.4627,0.3261,0.817
19-1012.00,Food Scientists and Technologists,,,0.3788,0.3057,0.8171
19-1013.00,Soil and Plant Scientists,,,0.3863,0.302,0.817
19-1021.00,Biochemists and Biophysicists,,,0.4253,0.3065,0.817
19-1022.00,Microbiologists,,,0.358,0.2834,0.817
19-1023.00,Zoologists and Wildlife Biologists,,,0.327,0.2929,0.8172
19-1029.01,Bioinformatics Scientists,,,0.444,0.3334,0.8169
19-1029.02,Molecular and Cellular Biologists,,,0.444,0.3257,0.817
19-1029.03,Geneticists,,,0.444,0.3201,0.817
19-1029.04,Biologists,,,0.444,0.3292,0.8171
19-1031.00,Conservation Scientists,,,0.2738,0.2551,0.817
19-1031.02,Range Managers,,,0.2738,0.2702,0.8173
19-1031.03,Park Naturalists,,,0.2738,0.2837,0.8178
19-1032.00,Foresters,,,0.217,0.2434,0.8172
19-1041.00,Epidemiologists,,,0.5283,0.3227,0.817
19-1042.00,Medical Scientists; Except Epidemiologists,,,0.5037,0.3547,0.8171
19-2011.00,Astronomers,,,0.476,0.3179,0.8169
19-2012.00,Physicists,,,0.489,0.3292,0.8169
19-2021.00,Atmospheric and Space Scientists,,,0.5231,0.3214,0.8168
19-2031.00,Chemists,,,0.327,0.2736,0.8171
19-2032.00,Materials Scientists,,,0.4236,0.3073,0.8169
19-2041.00,Environmental Scientists and Specialists; Including Health,,,0.4412,0.3142,0.8171
19-2041.01,Climate Change Policy Analysts,,,0.4412,0.3194,0.817
