activity,observed,n_studies,estimate,posterior_std
Analyzing Data or Information,0.011727583053967785,4.0,0.029,0.0489
Assisting and Caring for Others,,,0.2687,0.2105
Communicating with People Outside the Organization,0.23136364186155733,1.0,0.2443,0.0962
Communicating with Supervisors; Peers; or Subordinates,,,0.3533,0.2074
Documenting/Recording Information,0.04688358589885046,1.0,0.0569,0.098
Establishing and Maintaining Interpersonal Relationships,,,0.3645,0.1736
Getting Information,0.3056756374997935,1.0,0.3202,0.0889
Handling and Moving Objects,,,0.1528,0.3546
Making Decisions and Solving Problems,,,0.3259,0.2059
Monitoring Processes; Materials; or Surroundings,0.09447675960815247,1.0,0.0948,0.0178
Organizing; Planning; and Prioritizing Work,,,0.3881,0.2412
Performing for or Working Directly with the Public,,,0.2972,0.2574
Processing Information,0.2625231020213536,3.0,0.2663,0.0563
Thinking Creatively,0.4274410518727558,2.0,0.4242,0.0684
Training and Teaching Others,,,0.4999,0.3225
Updating and Using Relevant Knowledge,,,0.3278,0.207
Working with Computers,0.22700845562288027,9.0,0.2277,0.0332
