code,title,observed,n_studies,aioe_baseline,estimate,posterior_std
11-1011.00,Chief Executives,,,0.5336,0.4206,0.8245
11-1011.03,Chief Sustainability Officers,,,0.5336,0.4187,0.8228
11-1021.00,General and Operations Managers,,,0.4009,0.3748,0.8232
11-2011.00,Advertising and Promotions Managers,,,0.5142,0.3375,0.8189
11-2021.00,Marketing Managers,,,0.5115,0.4137,0.8243
11-2022.00,Sales Managers,,,0.5304,0.4176,0.8231
11-2033.00,Fundraising Managers,,,,0.3673,1.0118
11-3012.00,Administrative Services Managers,,,,0.373,1.0164
11-3013.00,Facilities Managers,,,,0.3838,1.0251
11-3013.01,Security Managers,,,,0.3346,1.0124
11-3021.00,Computer and Information Systems Managers,,,0.457,0.3042,0.8168
11-3031.00,Financial Managers,,,0.5306,0.403,0.8183
11-3031.01,Treasurers and Controllers,,,0.5306,0.3183,0.8196
11-3031.03,Investment Fund Managers,,,0.5306,0.303,0.8173
11-3051.00,Industrial Production Managers,,,0.3327,0.2868,0.8205
11-3051.01,Quality Control Systems Managers,,,0.3327,0.3459,0.828
11-3051.02,Geothermal Production Managers,,,0.3327,0.3645,0.8271
11-3051.03,Biofuels Production Managers,,,0.3327,0.3056,0.8205
11-3051.04,Biomass Power Plant Managers,,,0.3327,0.3686,0.8318
11-3051.06,Hydroelectric Production Managers,,,0.3327,0.3475,0.8242
11-3061.00,Purchasing Managers,,,0.5513,0.4284,0.8234
11-3071.00,Transportation; Storage; and Distribution Managers,,,0.4486,0.387,0.8238
11-3071.04,Supply Chain Managers,,,0.4486,0.3898,0.8217
11-3111.00,Compensation and Benefits Managers,,,0.5668,0.4247,0.827
11-3121.00,Human Resources Managers,,,0.5441,0.4221,0.8219
11-3131.00,Training and Development Managers,,,0.5395,0.4814,0.8307
11-9013.00,Farmers; Ranchers; and Other Agricultural Managers,,,0.225,0.319,0.8248
11-9021.00,Construction Managers,,,0.392,0.3875,0.8308
11-9031.00,Education and Childcare Administrators; Preschool and Daycare,,,0.4617,0.3957,0.8232
11-9032.00,Education Administrators; Kindergarten through Secondary,,,0.5105,0.4131,0.8246
11-9033.00,Education Administrators; Postsecondary,,,0.5832,0.4324,0.8222
11-9041.00,Architectural and Engineering Managers,,,0.3943,0.3423,0.8214
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,,,0.3943,0.1924,0.8169
11-9051.00,Food Service Managers,,,0.2711,0.2828,0.8191
11-9071.00,Gambling Managers,,,0.4095,0.3562,0.8234
11-9072.00,Entertainment and Recreation Managers; Except Gambling,,,,0.3761,1.0119
11-9081.00,Lodging Managers,,,0.3559,0.343,0.8218
11-9111.00,Medical and Health Services Managers,,,0.5348,0.4147,0.825
11-9121.00,Natural Sciences Managers,,,0.5193,0.4272,0.8287
11-9121.01,Clinical Research Coordinators,,,0.5193,0.4318,0.8322
11-9121.02,Water Resource Specialists,,,0.5193,0.2445,0.8173
11-9131.00,Postmasters and Mail Superintendents,,,0.4404,0.3824,0.828
11-9141.00,Property; Real Estate; and Community Association Managers,,,0.5138,0.3991,0.8226
11-9151.00,Social and Community Service Managers,,,0.5159,0.41,0.8256
11-9161.00,Emergency Management Directors,,,0.4478,0.3921,0.8246
11-9171.00,Funeral Home Managers,,,,0.2968,1.0316
11-9179.01,Fitness and Wellness Coordinators,,,,0.3621,1.0089
11-9179.02,Spa Managers,,,,0.338,1.0067
11-9199.01,Regulatory Affairs Managers,,,0.4497,0.3474,0.8176
11-9199.02,Compliance Managers,,,0.4497,0.3854,0.828
11-9199.08,Loss Prevention Managers,,,0.4497,0.3852,0.8223
11-9199.09,Wind Energy Operations Managers,,,0.4497,0.3947,0.8232
11-9199.10,Wind Energy Development Managers,,,0.4497,0.3164,0.8188
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,,,0.4497,0.3365,0.8179
13-1011.00,Agents and Business Managers of Artists; Performers; and Athletes,,,0.5208,0.4174,0.8242
13-1021.00,Buyers and Purchasing Agents; Farm Products,,,0.4133,0.3718,0.8209
13-1022.00,Wholesale and Retail Buyers; Except Farm Products,,,0.4246,0.377,0.8279
13-1023.00,Purchasing Agents; Except Wholesale; Retail; and Farm Products,,,0.5729,0.4067,0.8183
13-1031.00,Claims Adjusters; Examiners; and Investigators,,,0.4909,0.3604,0.8183
13-1032.00,Insurance Appraisers; Auto Damage,,,0.3807,0.3251,0.8341
13-1041.00,Compliance Officers,,,0.3786,0.3369,0.8183
13-1041.01,Environmental Compliance Inspectors,,,0.3786,0.3537,0.8216
13-1041.03,Equal Opportunity Representatives and Officers,,,0.3786,0.3572,0.8264
13-1041.04,Government Property Inspectors and Investigators,,,0.3786,0.366,0.824
13-1041.06,Coroners,,,0.3786,0.3008,0.8182
13-1041.07,Regulatory Affairs Specialists,,,0.3786,0.34,0.8185
13-1041.08,Customs Brokers,,,0.3786,0.3395,0.8186
13-1051.00,Cost Estimators,,,0.4968,0.1871,0.8171
13-1071.00,Human Resources Specialists,,,0.5858,0.443,0.8222
13-1074.00,Farm Labor Contractors,,,0.1733,0.2999,0.8244
13-1075.00,Labor Relations Specialists,,,0.5592,0.4234,0.8219
13-1081.00,Logisticians,,,0.4856,0.4199,0.8316
13-1081.01,Logistics Engineers,,,0.4856,0.3512,0.8187
13-1081.02,Logistics Analysts,,,0.4856,0.246,0.8169
13-1111.00,Management Analysts,0.12588024588900293,1.0,0.5839,0.1282,0.0995
13-1121.00,Meeting; Convention; and Event Planners,,,0.3662,0.3795,0.8318
13-1131.00,Fundraisers,,,0.5538,0.4275,0.8246
13-1141.00,Compensation; Benefits; and Job Analysis Specialists,,,0.5447,0.3062,0.8181
13-1151.00,Training and Development Specialists,,,0.5365,0.4169,0.8272
13-1161.00,Market Research Analysts and Marketing Specialists,,,0.5435,0.2022,0.8171
13-1161.01,Search Marketing Strategists,,,0.5435,0.3995,0.8279
13-1199.04,Business Continuity Planners,,,0.4528,0.3865,0.8277
13-1199.05,Sustainability Specialists,,,0.4528,0.3865,0.8279
13-1199.06,Online Merchants,,,0.4528,0.3059,0.8168
13-1199.07,Security Management Specialists,,,0.4528,0.3776,0.8198
13-2011.00,Accountants and Auditors,0.4155154439616658,1.0,0.5136,0.4145,0.0995
13-2022.00,Appraisers of Personal and Business Property,,,,0.2867,1.0037
13-2023.00,Appraisers and Assessors of Real Estate,,,,0.302,1.0027
13-2031.00,Budget Analysts,,,0.5317,0.3999,0.8197
13-2041.00,Credit Analysts,,,0.4879,0.1825,0.8171
13-2052.00,Personal Financial Advisors,,,0.5519,0.282,0.8171
13-2053.00,Insurance Underwriters,,,0.5237,0.3834,0.8182
13-2061.00,Financial Examiners,,,0.5439,0.3154,0.8173
13-2071.00,Credit Counselors,,,0.5433,0.3932,0.8185
13-2072.00,Loan Officers,,,0.5689,0.4151,0.821
13-2081.00,Tax Examiners and Collectors; and Revenue Agents,,,0.5218,0.3685,0.8273
13-2082.00,Tax Preparers,,,0.4989,0.3827,0.8209
13-2099.01,Financial Quantitative Analysts,0.15545145258449572,2.0,0.5218,0.1552,0.0705
13-2099.04,Fraud Examiners; Investigators and Analysts,,,0.5218,0.2585,0.817
15-1211.00,Computer Systems Analysts,,,,0.2278,1.0005
15-1211.01,Health Informatics Specialists,,,,0.3071,1.0074
15-1212.00,Information Security Analysts,0.19525776740136555,1.0,,0.1956,0.0995
15-1221.00,Computer and Information Research Scientists,,,,0.2328,1.0005
15-1231.00,Computer Network Support Specialists,,,,0.23,1.0005
15-1232.00,Computer User Support Specialists,,,,0.2368,1.0006
15-1241.00,Computer Network Architects,,,,0.2278,1.0005
15-1241.01,Telecommunications Engineering Specialists,,,,0.3285,1.0129
15-1242.00,Database Administrators,,,,0.2277,1.0006
15-1243.00,Database Architects,,,,0.2243,1.0005
15-1243.01,Data Warehousing Specialists,,,,0.2203,1.0005
15-1244.00,Network and Computer Systems Administrators,,,,0.2277,1.0006
15-1251.00,Computer Programmers,,,,0.2277,1.0005
15-1252.00,Software Developers,0.2788231685153041,5.0,0.4736,0.279,0.0447
15-1253.00,Software Quality Assurance Analysts and Testers,,,,0.2671,1.0033
15-1254.00,Web Developers,,,,0.4154,1.0021
15-1255.01,Video Game Designers,,,,0.4242,1.0023
15-1299.01,Web Administrators,,,,0.2288,1.0005
15-1299.02,Geographic Information Systems Technologists and Technicians,,,,0.1566,1.0019
15-1299.03,Document Management Specialists,,,,0.3531,1.0207
15-1299.05,Information Security Engineers,,,,0.2277,1.0006
15-1299.08,Computer Systems Engineers/Architects,,,,0.2278,1.0006
15-1299.09,Information Technology Project Managers,,,,0.3877,1.0281
15-2011.00,Actuaries,,,0.5107,0.1919,0.8171
15-2021.00,Mathematicians,,,0.5035,0.4469,0.8177
15-2031.00,Operations Research Analysts,,,0.5178,0.2084,0.8171
15-2041.00,Statisticians,,,0.5197,0.1932,0.8171
15-2041.01,Biostatisticians,,,0.5197,0.1926,0.8171
15-2051.01,Business Intelligence Analysts,,,,0.0318,1.0012
15-2051.02,Clinical Data Managers,,,,0.2655,1.0016
15-2099.01,Bioinformatics Technicians,,,,0.2479,1.0014
17-1011.00,Architects; Except Landscape and Naval,,,0.3866,0.4028,0.8176
17-1012.00,Landscape Architects,,,0.4341,0.4268,0.8177
17-1021.00,Cartographers and Photogrammetrists,,,0.3575,0.3319,0.8188
17-1022.00,Surveyors,,,0.2328,0.2461,0.8172
17-1022.01,Geodetic Surveyors,,,0.2328,0.2534,0.8173
17-2011.00,Aerospace Engineers,,,0.4932,0.3419,0.8173
17-2021.00,Agricultural Engineers,,,0.4034,0.2333,0.8178
17-2031.00,Bioengineers and Biomedical Engineers,,,0.4126,0.2401,0.8175
17-2041.00,Chemical Engineers,,,0.4488,0.3659,0.8277
17-2051.00,Civil Engineers,,,0.4532,0.3684,0.8279
17-2051.01,Transportation Engineers,,,0.4532,0.3684,0.8279
17-2051.02,Water/Wastewater Engineers,,,0.4532,0.3686,0.8276
17-2061.00,Computer Hardware Engineers,,,0.4638,0.3079,0.8168
17-2071.00,Electrical Engineers,,,0.4478,0.3473,0.8222
17-2072.00,Electronics Engineers; Except Computer,,,0.3544,0.152,0.817
17-2072.01,Radio Frequency Identification Device Specialists,,,0.3544,0.2774,0.8168
17-2081.00,Environmental Engineers,,,0.4778,0.3801,0.8253
17-2111.00,Health and Safety Engineers; Except Mining Safety Engineers and Inspectors,,,0.419,0.3581,0.8181
17-2111.02,Fire-Prevention and Protection Engineers,,,0.419,0.3573,0.8226
17-2112.00,Industrial Engineers,,,0.4486,0.3707,0.8256
17-2112.01,Human Factors Engineers and Ergonomists,,,0.4486,0.365,0.819
17-2112.02,Validation Engineers,,,0.4486,0.3255,0.8173
17-2112.03,Manufacturing Engineers,,,0.4486,0.3635,0.8223
17-2121.00,Marine Engineers and Naval Architects,,,0.3304,0.3216,0.8182
17-2131.00,Materials Engineers,,,0.4223,0.2725,0.8186
17-2141.00,Mechanical Engineers,,,0.4009,0.4034,0.8176
17-2141.01,Fuel Cell Engineers,,,0.4009,0.2661,0.82
17-2141.02,Automotive Engineers,,,0.4009,0.3434,0.8258
17-2151.00,Mining and Geological Engineers; Including Mining Safety Engineers,,,0.4751,0.3739,0.8246
17-2161.00,Nuclear Engineers,,,0.4839,0.3147,0.8171
17-2171.00,Petroleum Engineers,,,0.4755,0.2475,0.8173
17-2199.03,Energy Engineers; Except Wind and Solar,,,0.3805,0.2066,0.8173
17-2199.05,Mechatronics Engineers,,,0.3805,0.2804,0.8168
17-2199.06,Microsystems Engineers,,,0.3805,0.3429,0.818
17-2199.07,Photonics Engineers,,,0.3805,0.2174,0.8176
17-2199.08,Robotics Engineers,,,0.3805,0.396,0.8177
17-2199.09,Nanosystems Engineers,,,0.3805,0.1472,0.8171
