activity,observed,n_studies,estimate,posterior_std
Analyzing Data or Information,0.011727583053967785,4.0,0.0308,0.0485
Assisting and Caring for Others,,,0.2464,0.1868
Communicating with People Outside the Organization,0.23136364186155733,1.0,0.2428,0.0933
Communicating with Supervisors; Peers; or Subordinates,,,0.2733,0.1476
Controlling Machines and Processes,,,0.1112,0.1887
Documenting/Recording Information,0.04688358589885046,1.0,0.0724,0.0939
Establishing and Maintaining Interpersonal Relationships,,,0.2956,0.1438
Evaluating Information to Determine Compliance with Standards,,,0.2661,0.2663
Getting Information,0.3056756374997935,1.0,0.3,0.0822
Handling and Moving Objects,,,0.1016,0.1274
Identifying Objects; Actions; and Events,,,0.2341,0.2053
Inspecting Equipment; Structures; or Materials,,,0.1525,0.2789
Making Decisions and Solving Problems,,,0.2645,0.1482
Monitoring Processes; Materials; or Surroundings,0.09447675960815247,1.0,0.0953,0.0178
Operating Vehicles; Mechanized Devices; or Equipment,,,0.1124,0.3536
Organizing; Planning; and Prioritizing Work,,,0.2866,0.1625
Performing General Physical Activities,,,0.1127,0.2006
Performing for or Working Directly with the Public,,,0.2591,0.2141
Processing Information,0.2625231020213536,3.0,0.2642,0.0551
Repairing and Maintaining Mechanical Equipment,,,0.1239,0.3229
Thinking Creatively,0.4274410518727558,2.0,0.4138,0.0668
Training and Teaching Others,,,0.3698,0.2603
Updating and Using Relevant Knowledge,,,0.2702,0.1419
Working with Computers,0.22700845562288027,9.0,0.228,0.033
