activity,observed,n_studies,estimate,posterior_std
Analyzing Data or Information,0.011727583053967785,4.0,0.0309,0.0486
Assisting and Caring for Others,,,0.2714,0.1929
Coaching and Developing Others,,,0.3438,0.4371
Communicating with People Outside the Organization,0.23136364186155733,1.0,0.2445,0.0941
Communicating with Supervisors; Peers; or Subordinates,,,0.3198,0.1683
Documenting/Recording Information,0.04688358589885046,1.0,0.0731,0.0946
Drafting; Laying Out; and Specifying Technical Devices; Parts; and Equipment,,,0.3359,0.5074
Establishing and Maintaining Interpersonal Relationships,,,0.3288,0.1563
Evaluating Information to Determine Compliance with Standards,,,0.3088,0.3036
Getting Information,0.3056756374997935,1.0,0.3117,0.0846
Handling and Moving Objects,,,0.2139,0.308
Identifying Objects; Actions; and Events,,,0.2871,0.2461
Interpreting the Meaning of Information for Others,,,0.3572,0.4204
Making Decisions and Solving Problems,,,0.3096,0.1715
Monitoring Processes; Materials; or Surroundings,0.09447675960815247,1.0,0.0952,0.0178
Organizing; Planning; and Prioritizing Work,,,0.3338,0.1831
Performing General Physical Activities,,,0.2025,0.4164
Performing for or Working Directly with the Public,,,0.2935,0.2323
Processing Information,0.2625231020213536,3.0,0.2661,0.0554
Resolving Conflicts and Negotiating with Others,,,0.3102,0.3613
Selling or Influencing Others,,,0.3867,0.4946
Thinking Creatively,0.4274410518727558,2.0,0.4199,0.0674
Training and Teaching Others,,,0.3999,0.2758
Updating and Using Relevant Knowledge,,,0.3088,0.16
Working with Computers,0.22700845562288027,9.0,0.2283,0.0331
