code,title,observed,n_studies,aioe_baseline,estimate,posterior_std
11-1011.00,Chief Executives,,,0.5336,0.3918,0.8196
11-1011.03,Chief Sustainability Officers,,,0.5336,0.3865,0.8184
11-1021.00,General and Operations Managers,,,0.4009,0.3383,0.8183
11-2011.00,Advertising and Promotions Managers,,,0.5142,0.3625,0.8178
11-2021.00,Marketing Managers,,,0.5115,0.3876,0.8192
11-2022.00,Sales Managers,,,0.5304,0.4186,0.8451
11-2033.00,Fundraising Managers,,,,0.3183,1.0038
11-3012.00,Administrative Services Managers,,,,0.318,1.0034
11-3013.00,Facilities Managers,,,,0.3135,1.0044
11-3013.01,Security Managers,,,,0.3073,1.0039
11-3021.00,Computer and Information Systems Managers,,,0.457,0.3163,0.8168
11-3031.00,Financial Managers,,,0.5306,0.3813,0.8178
11-3031.01,Treasurers and Controllers,,,0.5306,0.3365,0.8176
11-3031.03,Investment Fund Managers,,,0.5306,0.3101,0.817
11-3051.00,Industrial Production Managers,,,0.3327,0.2919,0.8175
11-3051.01,Quality Control Systems Managers,,,0.3327,0.2883,0.8183
11-3051.02,Geothermal Production Managers,,,0.3327,0.3145,0.8191
11-3051.03,Biofuels Production Managers,,,0.3327,0.2884,0.8178
11-3051.04,Biomass Power Plant Managers,,,0.3327,0.3086,0.8192
11-3051.06,Hydroelectric Production Managers,,,0.3327,0.3028,0.8183
11-3061.00,Purchasing Managers,,,0.5513,0.394,0.8185
11-3071.00,Transportation; Storage; and Distribution Managers,,,0.4486,0.3564,0.8182
11-3071.04,Supply Chain Managers,,,0.4486,0.3555,0.8187
11-3111.00,Compensation and Benefits Managers,,,0.5668,0.398,0.8186
11-3121.00,Human Resources Managers,,,0.5441,0.3942,0.8225
11-3131.00,Training and Development Managers,,,0.5395,0.419,0.8228
11-9013.00,Farmers; Ranchers; and Other Agricultural Managers,,,0.225,0.2821,0.819
11-9021.00,Construction Managers,,,0.392,0.3303,0.8184
11-9031.00,Education and Childcare Administrators; Preschool and Daycare,,,0.4617,0.3665,0.8184
11-9032.00,Education Administrators; Kindergarten through Secondary,,,0.5105,0.388,0.82
11-9033.00,Education Administrators; Postsecondary,,,0.5832,0.4057,0.8186
11-9041.00,Architectural and Engineering Managers,,,0.3943,0.335,0.818
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,,,0.3943,0.2775,0.8169
11-9051.00,Food Service Managers,,,0.2711,0.2895,0.8214
11-9071.00,Gambling Managers,,,0.4095,0.3406,0.8193
11-9072.00,Entertainment and Recreation Managers; Except Gambling,,,,0.3244,1.0033
11-9081.00,Lodging Managers,,,0.3559,0.3262,0.8182
11-9111.00,Medical and Health Services Managers,,,0.5348,0.382,0.8192
11-9121.00,Natural Sciences Managers,,,0.5193,0.3638,0.8181
11-9121.01,Clinical Research Coordinators,,,0.5193,0.3708,0.8209
11-9121.02,Water Resource Specialists,,,0.5193,0.3173,0.8173
11-9131.00,Postmasters and Mail Superintendents,,,0.4404,0.3565,0.8223
11-9141.00,Property; Real Estate; and Community Association Managers,,,0.5138,0.3823,0.8184
11-9151.00,Social and Community Service Managers,,,0.5159,0.3822,0.8187
11-9161.00,Emergency Management Directors,,,0.4478,0.359,0.8189
11-9171.00,Funeral Home Managers,,,,0.2935,1.0077
11-9179.01,Fitness and Wellness Coordinators,,,,0.3275,1.0051
11-9179.02,Spa Managers,,,,0.2926,1.0022
11-9199.01,Regulatory Affairs Managers,,,0.4497,0.348,0.8193
11-9199.02,Compliance Managers,,,0.4497,0.3521,0.8198
