activity,observed,n_studies,estimate,posterior_std
Analyzing Data or Information,0.011727583053967785,4.0,0.0232,0.0488
Assisting and Caring for Others,,,0.2066,0.2248
Communicating with People Outside the Organization,0.23136364186155733,1.0,0.2306,0.0945
Communicating with Supervisors; Peers; or Subordinates,,,0.2217,0.1787
Documenting/Recording Information,0.04688358589885046,1.0,0.0652,0.0948
Establishing and Maintaining Interpersonal Relationships,,,0.2276,0.1714
Evaluating Information to Determine Compliance with Standards,,,0.215,0.3087
Getting Information,0.3056756374997935,1.0,0.2769,0.0867
Handling and Moving Objects,,,0.2198,0.3569
Identifying Objects; Actions; and Events,,,0.2126,0.2515
Making Decisions and Solving Problems,,,0.2152,0.1802
Monitoring Processes; Materials; or Surroundings,0.09447675960815247,1.0,0.0949,0.0178
Organizing; Planning; and Prioritizing Work,,,0.226,0.1942
Performing for or Working Directly with the Public,,,0.2277,0.2603
Processing Information,0.2625231020213536,3.0,0.257,0.0556
Thinking Creatively,0.4274410518727558,2.0,0.4122,0.0679
Training and Teaching Others,,,0.2354,0.3074
Updating and Using Relevant Knowledge,,,0.2179,0.1698
Working with Computers,0.22700845562288027,9.0,0.227,0.0331
