code,title,observed,n_studies,estimate,posterior_std
11-1011.00,Chief Executives,,,0.2237,1.008
11-1011.03,Chief Sustainability Officers,,,0.2285,1.0052
11-1021.00,General and Operations Managers,,,0.2206,1.0051
11-2011.00,Advertising and Promotions Managers,,,0.2351,1.0029
11-2021.00,Marketing Managers,,,0.2298,1.007
11-2022.00,Sales Managers,,,0.2244,1.0056
11-2033.00,Fundraising Managers,,,0.2292,1.0056
11-3012.00,Administrative Services Managers,,,0.2354,1.0049
11-3013.00,Facilities Managers,,,0.2272,1.0061
11-3013.01,Security Managers,,,0.2167,1.0051
11-3021.00,Computer and Information Systems Managers,,,0.2251,1.0007
11-3031.00,Financial Managers,,,0.23,1.0032
11-3031.01,Treasurers and Controllers,,,0.1769,1.0028
11-3031.03,Investment Fund Managers,,,0.1716,1.001
11-3051.00,Industrial Production Managers,,,0.2069,1.0027
11-3051.01,Quality Control Systems Managers,,,0.1934,1.0045
11-3051.02,Geothermal Production Managers,,,0.2162,1.0065
11-3051.03,Biofuels Production Managers,,,0.198,1.0032
11-3051.04,Biomass Power Plant Managers,,,0.2203,1.0062
11-3051.06,Hydroelectric Production Managers,,,0.2036,1.0047
11-3061.00,Purchasing Managers,,,0.225,1.0056
11-3071.00,Transportation; Storage; and Distribution Managers,,,0.2272,1.0046
11-3071.04,Supply Chain Managers,,,0.2167,1.0055
11-3111.00,Compensation and Benefits Managers,,,0.2274,1.0055
11-3121.00,Human Resources Managers,,,0.2245,1.0078
11-3131.00,Training and Development Managers,,,0.2296,1.016
11-9013.00,Farmers; Ranchers; and Other Agricultural Managers,,,0.2259,1.0062
11-9021.00,Construction Managers,,,0.2116,1.0052
11-9031.00,Education and Childcare Administrators; Preschool and Daycare,,,0.229,1.0054
11-9032.00,Education Administrators; Kindergarten through Secondary,,,0.2271,1.0091
11-9033.00,Education Administrators; Postsecondary,,,0.2228,1.0058
11-9041.00,Architectural and Engineering Managers,,,0.2371,1.0034
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,,,0.1797,1.001
11-9051.00,Food Service Managers,,,0.2257,1.0105
11-9071.00,Gambling Managers,,,0.2258,1.0062
11-9072.00,Entertainment and Recreation Managers; Except Gambling,,,0.2378,1.0052
11-9081.00,Lodging Managers,,,0.2268,1.0047
11-9111.00,Medical and Health Services Managers,,,0.2149,1.004
11-9121.00,Natural Sciences Managers,,,0.2048,1.0044
11-9121.01,Clinical Research Coordinators,,,0.2103,1.0094
11-9121.02,Water Resource Specialists,,,0.168,1.0018
11-9131.00,Postmasters and Mail Superintendents,,,0.2256,1.0069
11-9141.00,Property; Real Estate; and Community Association Managers,,,0.2263,1.0053
11-9151.00,Social and Community Service Managers,,,0.2256,1.0059
11-9161.00,Emergency Management Directors,,,0.2253,1.0064
11-9171.00,Funeral Home Managers,,,0.2258,1.0114
11-9179.01,Fitness and Wellness Coordinators,,,0.2292,1.0067
11-9179.02,Spa Managers,,,0.2185,1.0036
11-9199.01,Regulatory Affairs Managers,,,0.2266,1.0063
11-9199.02,Compliance Managers,,,0.2163,1.0079
11-9199.08,Loss Prevention Managers,,,0.2233,1.0052
11-9199.09,Wind Energy Operations Managers,,,0.2169,1.0052
11-9199.10,Wind Energy Development Managers,,,0.2256,1.003
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,,,0.2253,1.0026
13-1011.00,Agents and Business Managers of Artists; Performers; and Athletes,,,0.2662,1.0043
13-1021.00,Buyers and Purchasing Agents; Farm Products,,,0.2302,1.0032
13-1022.00,Wholesale and Retail Buyers; Except Farm Products,,,0.223,1.005
13-1023.00,Purchasing Agents; Except Wholesale; Retail; and Farm Products,,,0.2356,1.0026
13-1031.00,Claims Adjusters; Examiners; and Investigators,,,0.2176,1.0025
13-1032.00,Insurance Appraisers; Auto Damage,,,0.2245,1.0096
13-1041.00,Compliance Officers,,,0.2368,1.0029
13-1041.01,Environmental Compliance Inspectors,,,0.2267,1.0044
13-1041.03,Equal Opportunity Representatives and Officers,,,0.2105,1.0089
13-1041.04,Government Property Inspectors and Investigators,,,0.2183,1.0054
13-1041.06,Coroners,,,0.2258,1.0024
13-1041.07,Regulatory Affairs Specialists,,,0.2359,1.0036
13-1041.08,Customs Brokers,,,0.2419,1.0018
13-1051.00,Cost Estimators,,,0.1276,1.0009
13-1071.00,Human Resources Specialists,,,0.223,1.0065
13-1074.00,Farm Labor Contractors,,,0.2101,1.0073
13-1075.00,Labor Relations Specialists,,,0.2305,1.0051
13-1081.00,Logisticians,,,0.2241,1.0059
13-1081.01,Logistics Engineers,,,0.2018,1.0019
13-1081.02,Logistics Analysts,,,0.1907,1.0013
13-1111.00,Management Analysts,0.12588024588900293,1.0,0.1268,0.0995
13-1121.00,Meeting; Convention; and Event Planners,,,0.2293,1.0075
13-1131.00,Fundraisers,,,0.2294,1.0094
13-1141.00,Compensation; Benefits; and Job Analysis Specialists,,,0.1888,1.0034
13-1151.00,Training and Development Specialists,,,0.2271,1.0088
13-1161.00,Market Research Analysts and Marketing Specialists,,,0.1255,1.0006
13-1161.01,Search Marketing Strategists,,,0.2175,1.0047
13-1199.04,Business Continuity Planners,,,0.2217,1.0053
13-1199.05,Sustainability Specialists,,,0.2215,1.006
13-1199.06,Online Merchants,,,0.2309,1.0013
13-1199.07,Security Management Specialists,,,0.2241,1.0036
13-2011.00,Accountants and Auditors,0.4155154439616658,1.0,0.4135,0.0995
13-2022.00,Appraisers of Personal and Business Property,,,0.204,1.0027
13-2023.00,Appraisers and Assessors of Real Estate,,,0.2113,1.001
13-2031.00,Budget Analysts,,,0.2261,1.0027
13-2041.00,Credit Analysts,,,0.1009,1.0007
