activity,observed,n_studies,estimate,posterior_std
Analyzing Data or Information,0.6187454499366066,3.0,0.5632,0.1022
Assisting and Caring for Others,,,0.4086,0.2296
Coaching and Developing Others,,,0.4074,0.2892
Communicating with People Outside the Organization,,,0.4111,0.2355
Communicating with Supervisors; Peers; or Subordinates,,,0.4095,0.1771
Documenting/Recording Information,0.32228412256267414,1.0,0.3656,0.1548
Establishing and Maintaining Interpersonal Relationships,,,0.4103,0.1748
Evaluating Information to Determine Compliance with Standards,,,0.4123,0.2459
Getting Information,,,0.4109,0.1704
Handling and Moving Objects,,,0.4031,0.2975
Identifying Objects; Actions; and Events,,,0.4094,0.2072
Interpreting the Meaning of Information for Others,0.5887448327373892,1.0,0.4848,0.2013
Making Decisions and Solving Problems,0.6018357252619212,1.0,0.4978,0.1244
Monitoring Processes; Materials; or Surroundings,,,0.4091,0.2352
Organizing; Planning; and Prioritizing Work,,,0.4064,0.1846
Performing for or Working Directly with the Public,,,0.4032,0.2439
Processing Information,0.392791102839755,6.0,0.3929,0.0148
Resolving Conflicts and Negotiating with Others,,,0.4119,0.2769
Thinking Creatively,0.06420731866501303,4.0,0.0961,0.0603
Training and Teaching Others,,,0.4058,0.2502
Updating and Using Relevant Knowledge,0.4119263278737213,1.0,0.4092,0.1417
Working with Computers,0.4492359932088285,1.0,0.4411,0.0884
