code,title,observed,n_studies,estimate,posterior_std
11-1011.00,Chief Executives,,,0.4192,1.0041
11-1011.03,Chief Sustainability Officers,,,0.4141,1.0039
11-1021.00,General and Operations Managers,,,0.4184,1.003
11-2011.00,Advertising and Promotions Managers,,,0.3962,1.0042
11-2021.00,Marketing Managers,,,0.4013,1.0043
11-2022.00,Sales Managers,,,0.4173,1.0044
11-2033.00,Fundraising Managers,,,0.4051,1.0034
11-3012.00,Administrative Services Managers,,,0.4097,1.0036
11-3013.00,Facilities Managers,,,0.4055,1.0033
11-3013.01,Security Managers,,,0.4191,1.0033
11-3021.00,Computer and Information Systems Managers,,,0.4222,1.0021
11-3031.00,Financial Managers,,,0.4203,1.003
11-3031.01,Treasurers and Controllers,,,0.4393,1.0026
11-3031.03,Investment Fund Managers,,,0.4411,1.0023
11-3051.00,Industrial Production Managers,,,0.4091,1.0031
11-3051.01,Quality Control Systems Managers,,,0.4192,1.003
11-3051.02,Geothermal Production Managers,,,0.4118,1.0035
11-3051.03,Biofuels Production Managers,,,0.4129,1.003
11-3051.04,Biomass Power Plant Managers,,,0.4118,1.0029
11-3051.06,Hydroelectric Production Managers,,,0.4141,1.0034
11-3061.00,Purchasing Managers,,,0.4147,1.0037
11-3071.00,Transportation; Storage; and Distribution Managers,,,0.4123,1.0033
11-3071.04,Supply Chain Managers,,,0.4171,1.0035
11-3111.00,Compensation and Benefits Managers,,,0.4157,1.0035
11-3121.00,Human Resources Managers,,,0.4142,1.005
11-3131.00,Training and Development Managers,,,0.4053,1.0054
11-9013.00,Farmers; Ranchers; and Other Agricultural Managers,,,0.4055,1.0031
11-9021.00,Construction Managers,,,0.4136,1.0037
11-9031.00,Education and Childcare Administrators; Preschool and Daycare,,,0.4016,1.0042
11-9032.00,Education Administrators; Kindergarten through Secondary,,,0.4122,1.0047
11-9033.00,Education Administrators; Postsecondary,,,0.4168,1.0033
11-9041.00,Architectural and Engineering Managers,,,0.4063,1.0031
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,,,0.4189,1.0018
11-9051.00,Food Service Managers,,,0.4086,1.0045
11-9071.00,Gambling Managers,,,0.412,1.004
11-9072.00,Entertainment and Recreation Managers; Except Gambling,,,0.3991,1.0038
11-9081.00,Lodging Managers,,,0.4111,1.0037
11-9111.00,Medical and Health Services Managers,,,0.4159,1.0033
11-9121.00,Natural Sciences Managers,,,0.4189,1.0029
11-9121.01,Clinical Research Coordinators,,,0.4096,1.0038
11-9121.02,Water Resource Specialists,,,0.4339,1.0021
11-9131.00,Postmasters and Mail Superintendents,,,0.4143,1.0043
11-9141.00,Property; Real Estate; and Community Association Managers,,,0.419,1.0035
11-9151.00,Social and Community Service Managers,,,0.4071,1.0037
11-9161.00,Emergency Management Directors,,,0.414,1.0037
11-9171.00,Funeral Home Managers,,,0.4016,1.0041
11-9179.01,Fitness and Wellness Coordinators,,,0.3986,1.0044
11-9179.02,Spa Managers,,,0.4104,1.0037
11-9199.01,Regulatory Affairs Managers,,,0.4204,1.0035
11-9199.02,Compliance Managers,,,0.4157,1.0034
11-9199.08,Loss Prevention Managers,,,0.4174,1.0035
11-9199.09,Wind Energy Operations Managers,,,0.4075,1.0038
11-9199.10,Wind Energy Development Managers,,,0.4196,1.004
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,,,0.4229,1.0034
13-1011.00,Agents and Business Managers of Artists; Performers; and Athletes,,,0.3748,1.0035
13-1021.00,Buyers and Purchasing Agents; Farm Products,,,0.4098,1.003
13-1022.00,Wholesale and Retail Buyers; Except Farm Products,,,0.4122,1.0032
13-1023.00,Purchasing Agents; Except Wholesale; Retail; and Farm Products,,,0.4166,1.0035
13-1031.00,Claims Adjusters; Examiners; and Investigators,,,0.4211,1.0034
13-1032.00,Insurance Appraisers; Auto Damage,,,0.4174,1.0036
13-1041.00,Compliance Officers,,,0.4158,1.0031
13-1041.01,Environmental Compliance Inspectors,,,0.4137,1.0033
13-1041.03,Equal Opportunity Representatives and Officers,,,0.4227,1.0038
13-1041.04,Government Property Inspectors and Investigators,,,0.4149,1.0039
13-1041.06,Coroners,,,0.4165,1.0033
13-1041.07,Regulatory Affairs Specialists,,,0.4246,1.0037
13-1041.08,Customs Brokers,,,0.4156,1.0028
13-1051.00,Cost Estimators,,,0.4408,1.002
13-1071.00,Human Resources Specialists,,,0.4114,1.0036
13-1074.00,Farm Labor Contractors,,,0.4209,1.0036
13-1075.00,Labor Relations Specialists,,,0.4184,1.0062
