code,title,observed,n_studies,estimate,posterior_std
11-1011.00,Chief Executives,,,0.5593,1.0361
11-1011.03,Chief Sustainability Officers,,,0.5453,1.0308
11-1021.00,General and Operations Managers,,,0.5546,1.0312
11-2011.00,Advertising and Promotions Managers,,,0.5077,1.1187
11-2021.00,Marketing Managers,,,0.5575,1.0358
11-2022.00,Sales Managers,,,0.551,1.0314
11-2033.00,Fundraising Managers,,,0.5486,1.0318
11-3012.00,Administrative Services Managers,,,0.4918,1.0405
11-3013.00,Facilities Managers,,,0.4964,1.0535
11-3013.01,Security Managers,,,0.5314,1.0101
11-3021.00,Computer and Information Systems Managers,,,0.4452,1.0044
11-3031.00,Financial Managers,,,0.5056,1.0122
11-3031.01,Treasurers and Controllers,,,0.562,1.0046
11-3031.03,Investment Fund Managers,,,0.5401,1.0137
11-3051.00,Industrial Production Managers,,,0.5426,1.009
11-3051.01,Quality Control Systems Managers,,,0.4657,1.0408
11-3051.02,Geothermal Production Managers,,,0.4866,1.045
11-3051.03,Biofuels Production Managers,,,0.5141,1.0139
11-3051.04,Biomass Power Plant Managers,,,0.4912,1.0596
11-3051.06,Hydroelectric Production Managers,,,0.4767,1.0302
11-3061.00,Purchasing Managers,,,0.4786,1.0314
11-3071.00,Transportation; Storage; and Distribution Managers,,,0.4777,1.0291
11-3071.04,Supply Chain Managers,,,0.5342,1.0264
11-3111.00,Compensation and Benefits Managers,,,0.4699,1.0383
11-3121.00,Human Resources Managers,,,0.5313,1.0277
11-3131.00,Training and Development Managers,,,0.4782,1.0807
11-9013.00,Farmers; Ranchers; and Other Agricultural Managers,,,0.5153,1.0288
11-9021.00,Construction Managers,,,0.4916,1.0568
11-9031.00,Education and Childcare Administrators; Preschool and Daycare,,,0.5489,1.0322
11-9032.00,Education Administrators; Kindergarten through Secondary,,,0.5593,1.0368
11-9033.00,Education Administrators; Postsecondary,,,0.5222,1.0178
11-9041.00,Architectural and Engineering Managers,,,0.5353,1.0108
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,,,0.548,1.0034
11-9051.00,Food Service Managers,,,0.4914,1.0357
11-9071.00,Gambling Managers,,,0.4719,1.0377
11-9072.00,Entertainment and Recreation Managers; Except Gambling,,,0.5213,1.0327
11-9081.00,Lodging Managers,,,0.528,1.0104
11-9111.00,Medical and Health Services Managers,,,0.4765,1.033
11-9121.00,Natural Sciences Managers,,,0.4904,1.0492
11-9121.01,Clinical Research Coordinators,,,0.4923,1.0609
11-9121.02,Water Resource Specialists,,,0.5806,1.0042
11-9131.00,Postmasters and Mail Superintendents,,,0.4658,1.0408
11-9141.00,Property; Real Estate; and Community Association Managers,,,0.5437,1.0098
11-9151.00,Social and Community Service Managers,,,0.4721,1.035
11-9161.00,Emergency Management Directors,,,0.5591,1.0365
11-9171.00,Funeral Home Managers,,,0.4766,1.1003
11-9179.01,Fitness and Wellness Coordinators,,,0.5045,1.0252
11-9179.02,Spa Managers,,,0.4878,1.0211
11-9199.01,Regulatory Affairs Managers,,,0.4928,1.0345
11-9199.02,Compliance Managers,,,0.4657,1.0408
11-9199.08,Loss Prevention Managers,,,0.499,1.0243
11-9199.09,Wind Energy Operations Managers,,,0.4977,1.0286
11-9199.10,Wind Energy Development Managers,,,0.5083,1.1167
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,,,0.5187,1.0552
13-1011.00,Agents and Business Managers of Artists; Performers; and Athletes,,,0.5467,1.0348
13-1021.00,Buyers and Purchasing Agents; Farm Products,,,0.5472,1.0231
13-1022.00,Wholesale and Retail Buyers; Except Farm Products,,,0.4657,1.0404
13-1023.00,Purchasing Agents; Except Wholesale; Retail; and Farm Products,,,0.4943,1.0334
13-1031.00,Claims Adjusters; Examiners; and Investigators,,,0.5108,1.0514
13-1032.00,Insurance Appraisers; Auto Damage,,,0.4764,1.1017
13-1041.00,Compliance Officers,,,0.4863,1.0333
13-1041.01,Environmental Compliance Inspectors,,,0.4761,1.025
13-1041.03,Equal Opportunity Representatives and Officers,,,0.4712,1.0362
13-1041.04,Government Property Inspectors and Investigators,,,0.5052,1.0397
13-1041.06,Coroners,,,0.5066,1.0826
13-1041.07,Regulatory Affairs Specialists,,,0.4934,1.0375
13-1041.08,Customs Brokers,,,0.4928,1.0374
13-1051.00,Cost Estimators,,,0.5957,1.006
13-1071.00,Human Resources Specialists,,,0.5378,1.0302
13-1074.00,Farm Labor Contractors,,,0.5589,1.0361
13-1075.00,Labor Relations Specialists,,,0.5566,1.0239
13-1081.00,Logisticians,,,0.4931,1.059
13-1081.01,Logistics Engineers,,,0.4999,1.0139
13-1081.02,Logistics Analysts,,,0.5418,1.0031
13-1111.00,Management Analysts,2.140791781015457,1.0,2.103,0.1547
13-1121.00,Meeting; Convention; and Event Planners,,,0.4925,1.0597
13-1131.00,Fundraisers,,,0.5593,1.0368
13-1141.00,Compensation; Benefits; and Job Analysis Specialists,,,0.5409,1.0083
13-1151.00,Training and Development Specialists,,,0.4678,1.0388
13-1161.00,Market Research Analysts and Marketing Specialists,,,0.5949,1.0059
13-1161.01,Search Marketing Strategists,,,0.4391,1.0165
13-1199.04,Business Continuity Planners,,,0.4662,1.04
13-1199.05,Sustainability Specialists,,,0.4667,1.0404
13-1199.06,Online Merchants,0.03995295962367699,1.0,0.0425,0.0787
13-1199.07,Security Management Specialists,,,0.5122,1.013
13-2011.00,Accountants and Auditors,,,0.4695,1.0126
13-2022.00,Appraisers of Personal and Business Property,,,0.4785,1.0121
13-2023.00,Appraisers and Assessors of Real Estate,,,0.4845,1.027
13-2031.00,Budget Analysts,,,0.4599,1.0162
13-2041.00,Credit Analysts,,,0.5965,1.006
13-2052.00,Personal Financial Advisors,,,0.5651,1.0048
13-2053.00,Insurance Underwriters,,,0.5028,1.0308
13-2061.00,Financial Examiners,,,0.5355,1.0139
13-2071.00,Credit Counselors,,,0.4942,1.0365
13-2072.00,Loan Officers,,,0.5425,1.0243
13-2081.00,Tax Examiners and Collectors; and Revenue Agents,,,0.4812,1.0741
13-2082.00,Tax Preparers,,,0.4613,1.0148
13-2099.01,Financial Quantitative Analysts,0.0011783133481217194,2.0,0.0012,0.0047
13-2099.04,Fraud Examiners; Investigators and Analysts,,,0.5615,1.0072
15-1211.00,Computer Systems Analysts,,,0.4452,1.0044
15-1211.01,Health Informatics Specialists,,,0.4903,1.0065
15-1212.00,Information Security Analysts,,,0.4449,1.004
15-1221.00,Computer and Information Research Scientists,,,0.4418,1.0039
15-1231.00,Computer Network Support Specialists,,,0.445,1.0042
15-1232.00,Computer User Support Specialists,,,0.4466,1.004
15-1241.00,Computer Network Architects,,,0.4452,1.0044
15-1241.01,Telecommunications Engineering Specialists,,,0.463,1.0106
15-1242.00,Database Administrators,,,0.4452,1.0044
15-1243.00,Database Architects,,,0.4477,1.0042
15-1243.01,Data Warehousing Specialists,,,0.4509,1.0041
15-1244.00,Network and Computer Systems Administrators,,,0.4452,1.0044
15-1251.00,Computer Programmers,,,0.4452,1.0044
15-1252.00,Software Developers,0.10165040528573137,1.0,0.1018,0.0478
15-1253.00,Software Quality Assurance Analysts and Testers,,,0.4427,1.0042
15-1254.00,Web Developers,,,0.0956,1.0017
15-1255.01,Video Game Designers,,,0.0717,1.0019
15-1299.01,Web Administrators,,,0.4436,1.0044
15-1299.02,Geographic Information Systems Technologists and Technicians,,,0.5141,1.0031
15-1299.03,Document Management Specialists,,,0.4658,1.0402
15-1299.05,Information Security Engineers,,,0.4452,1.0044
15-1299.08,Computer Systems Engineers/Architects,,,0.4452,1.0044
15-1299.09,Information Technology Project Managers,,,0.492,1.06
15-2011.00,Actuaries,,,0.594,1.0059
15-2021.00,Mathematicians,,,0.0792,1.0019
15-2031.00,Operations Research Analysts,,,0.5903,1.0052
15-2041.00,Statisticians,,,0.5962,1.006
15-2041.01,Biostatisticians,,,0.5969,1.0061
15-2051.01,Business Intelligence Analysts,,,0.5945,1.0059
15-2051.02,Clinical Data Managers,,,0.393,1.0001
15-2099.01,Bioinformatics Technicians,,,0.4088,1.0001
17-1011.00,Architects; Except Landscape and Naval,,,0.1355,1.0016
17-1012.00,Landscape Architects,,,0.0763,1.0019
17-1021.00,Cartographers and Photogrammetrists,,,0.4666,1.0167
17-1022.00,Surveyors,,,0.4055,1.0002
17-1022.01,Geodetic Surveyors,,,0.3952,1.0001
17-2011.00,Aerospace Engineers,,,0.3928,1.0001
17-2021.00,Agricultural Engineers,,,0.5371,1.0039
17-2031.00,Bioengineers and Biomedical Engineers,,,0.5001,1.0035
17-2041.00,Chemical Engineers,,,0.5565,1.0105
17-2051.00,Civil Engineers,,,0.5571,1.0107
17-2051.01,Transportation Engineers,,,0.5568,1.0106
17-2051.02,Water/Wastewater Engineers,,,0.5561,1.0104
17-2061.00,Computer Hardware Engineers,,,0.4448,1.0042
17-2071.00,Electrical Engineers,,,0.5239,1.0057
17-2072.00,Electronics Engineers; Except Computer,,,0.5799,1.005
17-2072.01,Radio Frequency Identification Device Specialists,,,0.4461,1.0037
17-2081.00,Environmental Engineers,,,0.5472,1.0096
17-2111.00,Health and Safety Engineers; Except Mining Safety Engineers and Inspectors,,,0.4943,1.0241
17-2111.02,Fire-Prevention and Protection Engineers,,,0.5089,1.0072
17-2112.00,Industrial Engineers,,,0.5148,1.0085
17-2112.01,Human Factors Engineers and Ergonomists,,,0.5172,1.0169
17-2112.02,Validation Engineers,,,0.3961,1.0001
17-2112.03,Manufacturing Engineers,,,0.5168,1.0069
17-2121.00,Marine Engineers and Naval Architects,,,0.4878,1.0294
17-2131.00,Materials Engineers,,,0.5076,1.0043
17-2141.00,Mechanical Engineers,,,0.1597,1.0019
17-2141.01,Fuel Cell Engineers,,,0.5078,1.0063
17-2141.02,Automotive Engineers,,,0.5466,1.0087
17-2151.00,Mining and Geological Engineers; Including Mining Safety Engineers,,,0.5376,1.0084
17-2161.00,Nuclear Engineers,,,0.4296,1.0002
17-2171.00,Petroleum Engineers,,,0.5642,1.0042
17-2199.03,Energy Engineers; Except Wind and Solar,,,0.5562,1.0037
17-2199.05,Mechatronics Engineers,,,0.447,1.0042
17-2199.06,Microsystems Engineers,,,0.4845,1.0188
17-2199.07,Photonics Engineers,,,0.5595,1.0033
17-2199.08,Robotics Engineers,,,0.1456,1.0019
17-2199.09,Nanosystems Engineers,,,0.5949,1.006
17-2199.10,Wind Energy Engineers,,,0.5078,1.0045
17-2199.11,Solar Energy Systems Engineers,,,0.5039,1.0269
17-3011.00,Architectural and Civil Drafters,,,0.4394,1.0115
17-3012.00,Electrical and Electronics Drafters,,,0.4454,1.0036
17-3013.00,Mechanical Drafters,,,0.4424,1.0043
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,,,0.3761,1.0136
17-3022.00,Civil Engineering Technologists and Technicians,,,0.3945,1.0001
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,,,0.4659,1.0049
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,,,0.4391,1.008
17-3024.01,Robotics Technicians,,,0.4457,1.0042
17-3025.00,Environmental Engineering Technologists and Technicians,,,0.4632,1.038
17-3026.00,Industrial Engineering Technologists and Technicians,,,0.1814,1.0017
17-3026.01,Nanotechnology Engineering Technologists and Technicians,,,0.4835,1.1245
17-3027.00,Mechanical Engineering Technologists and Technicians,,,0.5216,1.0067
17-3027.01,Automotive Engineering Technicians,,,0.4384,1.0141
17-3029.01,Non-Destructive Testing Specialists,,,0.5072,1.0038
17-3029.08,Photonics Technicians,,,0.4224,1.002
17-3031.00,Surveying and Mapping Technicians,,,0.3817,1.0069
19-1011.00,Animal Scientists,,,0.57,1.004
19-1012.00,Food Scientists and Technologists,,,0.482,1.0365
19-1013.00,Soil and Plant Scientists,,,0.5148,1.0034
19-1021.00,Biochemists and Biophysicists,,,0.5757,1.0051
19-1022.00,Microbiologists,,,0.4339,1.0004
19-1023.00,Zoologists and Wildlife Biologists,,,0.5334,1.0169
19-1029.01,Bioinformatics Scientists,,,0.0809,1.0018
19-1029.02,Molecular and Cellular Biologists,,,0.4138,1.0025
19-1029.03,Geneticists,,,0.4937,1.0379
19-1029.04,Biologists,,,0.3992,1.0001
19-1031.00,Conservation Scientists,,,0.5936,1.0058
19-1031.02,Range Managers,,,0.556,1.0329
19-1031.03,Park Naturalists,,,0.477,1.0995
19-1032.00,Foresters,,,0.5539,1.01
19-1041.00,Epidemiologists,,,0.5969,1.0061
19-1042.00,Medical Scientists; Except Epidemiologists,,,0.3429,1.0092
19-2011.00,Astronomers,,,0.5768,1.0049
19-2012.00,Physicists,,,0.5857,1.0055
19-2021.00,Atmospheric and Space Scientists,,,0.5969,1.0061
19-2031.00,Chemists,,,0.4228,1.012
19-2032.00,Materials Scientists,,,0.4199,1.0007
19-2041.00,Environmental Scientists and Specialists; Including Health,,,0.5169,1.0231
19-2041.01,Climate Change Policy Analysts,,,0.4954,1.0372
19-2041.02,Environmental Restoration Planners,,,0.4959,1.0147
19-2041.03,Industrial Ecologists,,,0.5823,1.0055
19-2042.00,Geoscientists; Except Hydrologists and Geographers,,,0.5929,1.0058
19-2043.00,Hydrologists,,,0.5967,1.006
19-2099.01,Remote Sensing Scientists and Technologists,,,0.4168,1.0002
19-3011.00,Economists,,,0.5964,1.006
19-3011.01,Environmental Economists,,,0.5968,1.0061
19-3022.00,Survey Researchers,,,0.4202,1.0002
19-3032.00,Industrial-Organizational Psychologists,,,0.5114,1.0187
19-3033.00,Clinical and Counseling Psychologists,,,0.553,1.0259
19-3034.00,School Psychologists,,,0.5462,1.0314
19-3039.02,Neuropsychologists,,,0.3939,1.0001
19-3039.03,Clinical Neuropsychologists,,,0.5426,1.0038
19-3041.00,Sociologists,,,0.4996,1.0336
19-3051.00,Urban and Regional Planners,,,0.5238,1.0599
19-3091.00,Anthropologists and Archeologists,,,0.494,1.0386
19-3092.00,Geographers,,,0.4337,1.0005
19-3093.00,Historians,,,0.4946,1.0366
19-3094.00,Political Scientists,,,0.5673,1.0052
19-3099.01,Transportation Planners,,,0.5267,1.019
