activity,observed,n_studies,estimate,posterior_std
Analyzing Data or Information,0.6187454499366066,3.0,0.5737,0.1046
Assisting and Caring for Others,,,0.4201,0.2335
Communicating with People Outside the Organization,,,0.4246,0.3169
Communicating with Supervisors; Peers; or Subordinates,,,0.4179,0.2036
Documenting/Recording Information,0.32228412256267414,1.0,0.3572,0.1724
Establishing and Maintaining Interpersonal Relationships,,,0.4284,0.1916
Evaluating Information to Determine Compliance with Standards,,,0.4289,0.3318
Getting Information,,,0.4271,0.1824
Handling and Moving Objects,,,0.4095,0.3678
Identifying Objects; Actions; and Events,,,0.4209,0.266
Interpreting the Meaning of Information for Others,0.5887448327373892,1.0,0.5208,0.246
Making Decisions and Solving Problems,0.6018357252619212,1.0,0.5149,0.1311
Monitoring Processes; Materials; or Surroundings,,,0.4209,0.3138
Organizing; Planning; and Prioritizing Work,,,0.4115,0.2195
Performing for or Working Directly with the Public,,,0.4124,0.2743
Processing Information,0.392791102839755,6.0,0.393,0.0148
Thinking Creatively,0.06420731866501303,4.0,0.0868,0.0611
Training and Teaching Others,,,0.4066,0.3197
Updating and Using Relevant Knowledge,0.4119263278737213,1.0,0.4149,0.1469
Working with Computers,0.4492359932088285,1.0,0.4425,0.0906
