activity,observed,n_studies,estimate,posterior_std
Analyzing Data or Information,0.6187454499366066,3.0,0.5727,0.1042
Assisting and Caring for Others,,,0.4241,0.233
Coaching and Developing Others,,,0.4157,0.4546
Communicating with People Outside the Organization,,,0.4301,0.3028
Communicating with Supervisors; Peers; or Subordinates,,,0.4249,0.1917
Documenting/Recording Information,0.32228412256267414,1.0,0.3583,0.1726
Drafting; Laying Out; and Specifying Technical Devices; Parts; and Equipment,,,0.3894,0.598
Establishing and Maintaining Interpersonal Relationships,,,0.4345,0.1865
Evaluating Information to Determine Compliance with Standards,,,0.4327,0.3227
Getting Information,,,0.4315,0.1794
Handling and Moving Objects,,,0.4136,0.368
Identifying Objects; Actions; and Events,,,0.4248,0.263
Interpreting the Meaning of Information for Others,0.5887448327373892,1.0,0.5216,0.2456
Making Decisions and Solving Problems,0.6018357252619212,1.0,0.5133,0.1293
Monitoring Processes; Materials; or Surroundings,,,0.4254,0.3061
Organizing; Planning; and Prioritizing Work,,,0.4192,0.2067
Performing General Physical Activities,,,0.4101,0.4738
Performing for or Working Directly with the Public,,,0.4179,0.2747
Processing Information,0.392791102839755,6.0,0.393,0.0148
Resolving Conflicts and Negotiating with Others,,,0.4358,0.3861
Selling or Influencing Others,,,0.4219,0.5814
Thinking Creatively,0.06420731866501303,4.0,0.0862,0.0611
Training and Teaching Others,,,0.4124,0.3152
Updating and Using Relevant Knowledge,0.4119263278737213,1.0,0.4179,0.1471
Working with Computers,0.4492359932088285,1.0,0.4432,0.0908
