code,title,observed,n_studies,estimate,posterior_std
11-1011.00,Chief Executives,,,0.4448,1.0091
11-1011.03,Chief Sustainability Officers,,,0.434,1.0081
11-1021.00,General and Operations Managers,,,0.4445,1.0059
11-2011.00,Advertising and Promotions Managers,,,0.4186,1.0157
11-2021.00,Marketing Managers,,,0.426,1.0098
11-2022.00,Sales Managers,,,0.4277,1.0736
11-2033.00,Fundraising Managers,,,0.425,1.0076
11-3012.00,Administrative Services Managers,,,0.4277,1.0075
11-3013.00,Facilities Managers,,,0.4302,1.0069
11-3013.01,Security Managers,,,0.4506,1.0059
11-3021.00,Computer and Information Systems Managers,,,0.4411,1.003
11-3031.00,Financial Managers,,,0.4365,1.0048
11-3031.01,Treasurers and Controllers,,,0.4852,1.0034
11-3031.03,Investment Fund Managers,,,0.4855,1.0041
11-3051.00,Industrial Production Managers,,,0.4372,1.0056
11-3051.01,Quality Control Systems Managers,,,0.4339,1.0061
11-3051.02,Geothermal Production Managers,,,0.4272,1.0085
11-3051.03,Biofuels Production Managers,,,0.4409,1.0061
11-3051.04,Biomass Power Plant Managers,,,0.4231,1.0076
11-3051.06,Hydroelectric Production Managers,,,0.4355,1.0064
11-3061.00,Purchasing Managers,,,0.4333,1.0072
11-3071.00,Transportation; Storage; and Distribution Managers,,,0.4361,1.0061
11-3071.04,Supply Chain Managers,,,0.4413,1.007
11-3111.00,Compensation and Benefits Managers,,,0.4313,1.0074
11-3121.00,Human Resources Managers,,,0.4339,1.0156
11-3131.00,Training and Development Managers,,,0.4185,1.0171
11-9013.00,Farmers; Ranchers; and Other Agricultural Managers,,,0.4348,1.006
11-9021.00,Construction Managers,,,0.4308,1.0072
11-9031.00,Education and Childcare Administrators; Preschool and Daycare,,,0.4241,1.008
11-9032.00,Education Administrators; Kindergarten through Secondary,,,0.4337,1.0111
11-9033.00,Education Administrators; Postsecondary,,,0.4462,1.0059
11-9041.00,Architectural and Engineering Managers,,,0.4318,1.0062
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,,,0.4559,1.0016
11-9051.00,Food Service Managers,,,0.4248,1.0134
11-9071.00,Gambling Managers,,,0.4289,1.0095
11-9072.00,Entertainment and Recreation Managers; Except Gambling,,,0.418,1.0073
11-9081.00,Lodging Managers,,,0.4397,1.0062
11-9111.00,Medical and Health Services Managers,,,0.4322,1.0079
11-9121.00,Natural Sciences Managers,,,0.4361,1.0055
11-9121.01,Clinical Research Coordinators,,,0.4193,1.0123
11-9121.02,Water Resource Specialists,,,0.4891,1.0027
11-9131.00,Postmasters and Mail Superintendents,,,0.4339,1.0149
11-9141.00,Property; Real Estate; and Community Association Managers,,,0.4495,1.0057
11-9151.00,Social and Community Service Managers,,,0.4254,1.0078
11-9161.00,Emergency Management Directors,,,0.4377,1.0086
11-9171.00,Funeral Home Managers,,,0.4204,1.0134
11-9179.01,Fitness and Wellness Coordinators,,,0.4194,1.0092
11-9179.02,Spa Managers,,,0.4298,1.0062
11-9199.01,Regulatory Affairs Managers,,,0.4363,1.0092
11-9199.02,Compliance Managers,,,0.431,1.0093
11-9199.08,Loss Prevention Managers,,,0.4426,1.0062
11-9199.09,Wind Energy Operations Managers,,,0.4281,1.009
11-9199.10,Wind Energy Development Managers,,,0.4403,1.0134
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,,,0.4475,1.0071
13-1011.00,Agents and Business Managers of Artists; Performers; and Athletes,,,0.3721,1.0067
13-1021.00,Buyers and Purchasing Agents; Farm Products,,,0.4342,1.0053
13-1022.00,Wholesale and Retail Buyers; Except Farm Products,,,0.43,1.0065
13-1023.00,Purchasing Agents; Except Wholesale; Retail; and Farm Products,,,0.4324,1.0069
13-1031.00,Claims Adjusters; Examiners; and Investigators,,,0.4388,1.0077
13-1032.00,Insurance Appraisers; Auto Damage,,,0.4302,1.0112
13-1041.00,Compliance Officers,,,0.4257,1.006
13-1041.01,Environmental Compliance Inspectors,,,0.4267,1.0069
13-1041.03,Equal Opportunity Representatives and Officers,,,0.4386,1.0106
13-1041.04,Government Property Inspectors and Investigators,,,0.432,1.0088
13-1041.06,Coroners,,,0.4359,1.0066
13-1041.07,Regulatory Affairs Specialists,,,0.4377,1.0076
13-1041.08,Customs Brokers,,,0.4283,1.0053
13-1051.00,Cost Estimators,,,0.506,1.0028
13-1071.00,Human Resources Specialists,,,0.4303,1.0078
13-1074.00,Farm Labor Contractors,,,0.434,1.0086
13-1075.00,Labor Relations Specialists,,,0.439,1.0468
13-1081.00,Logisticians,,,0.4364,1.0074
13-1081.01,Logistics Engineers,,,0.4427,1.0035
13-1081.02,Logistics Analysts,,,0.4578,1.0025
13-1111.00,Management Analysts,2.140791781015457,1.0,2.1003,0.1546
13-1121.00,Meeting; Convention; and Event Planners,,,0.4223,1.0111
13-1131.00,Fundraisers,,,0.4321,1.0134
13-1141.00,Compensation; Benefits; and Job Analysis Specialists,,,0.4588,1.0045
13-1151.00,Training and Development Specialists,,,0.4241,1.0101
13-1161.00,Market Research Analysts and Marketing Specialists,,,0.5029,1.0022
13-1161.01,Search Marketing Strategists,,,0.4336,1.0043
13-1199.04,Business Continuity Planners,,,0.4318,1.0069
13-1199.05,Sustainability Specialists,,,0.4326,1.0086
13-1199.06,Online Merchants,0.03995295962367699,1.0,0.0424,0.0787
13-1199.07,Security Management Specialists,,,0.4351,1.0052
13-2011.00,Accountants and Auditors,,,0.44,1.0039
13-2022.00,Appraisers of Personal and Business Property,,,0.4472,1.0039
13-2023.00,Appraisers and Assessors of Real Estate,,,0.4476,1.0035
13-2031.00,Budget Analysts,,,0.4324,1.0041
13-2041.00,Credit Analysts,,,0.5214,1.003
13-2052.00,Personal Financial Advisors,,,0.4774,1.0029
13-2053.00,Insurance Underwriters,,,0.4632,1.0044
13-2061.00,Financial Examiners,,,0.4609,1.0068
13-2071.00,Credit Counselors,,,0.4308,1.0057
13-2072.00,Loan Officers,,,0.4436,1.0052
13-2081.00,Tax Examiners and Collectors; and Revenue Agents,,,0.4226,1.009
13-2082.00,Tax Preparers,,,0.4239,1.0056
13-2099.01,Financial Quantitative Analysts,0.0011783133481217194,2.0,0.0012,0.0047
13-2099.04,Fraud Examiners; Investigators and Analysts,,,0.4693,1.0033
15-1211.00,Computer Systems Analysts,,,0.4393,1.0031
15-1211.01,Health Informatics Specialists,,,0.437,1.0027
15-1212.00,Information Security Analysts,,,0.432,1.0028
