node_type,code,label,actual,predicted,residual,abs_error,posterior_std,actual_rank,loo_rank,rank_delta,actual_rank_within,loo_rank_within,rank_delta_within
occupation,13-1111.00,Management Analysts,0.1259,0.2227,0.0968,0.0968,1.0058,14.0,12.0,-2.0,9.0,6.0,-3.0
occupation,13-2011.00,Accountants and Auditors,0.4155,0.2084,-0.2072,0.2072,1.0028,3.0,16.0,13.0,2.0,10.0,8.0
occupation,13-2099.01,Financial Quantitative Analysts,0.1555,0.1602,0.0047,0.0047,1.0006,13.0,19.0,6.0,8.0,11.0,3.0
occupation,15-1212.00,Information Security Analysts,0.1953,0.2183,0.023,0.023,1.0018,12.0,14.0,2.0,7.0,8.0,1.0
occupation,15-1252.00,Software Developers,0.2788,0.2727,-0.0061,0.0061,1.0011,6.0,2.0,-4.0,4.0,2.0,-2.0
occupation,23-1011.00,Lawyers,0.2506,0.2317,-0.0189,0.0189,1.0054,8.0,5.0,-3.0,5.0,4.0,-1.0
occupation,27-1013.00,Fine Artists; Including Painters; Sculptors; and Illustrators,0.793,0.4083,-0.3847,0.3847,1.0023,1.0,1.0,0.0,1.0,1.0,0.0
occupation,27-3091.00,Interpreters and Translators,0.3727,0.2217,-0.1511,0.1511,1.0061,4.0,13.0,9.0,3.0,7.0,4.0
occupation,29-1224.00,Radiologists,-0.0378,0.2155,0.2533,0.2533,1.0089,19.0,15.0,-4.0,11.0,9.0,-2.0
occupation,41-9022.00,Real Estate Sales Agents,0.0541,0.2323,0.1782,0.1782,1.0053,16.0,4.0,-12.0,10.0,3.0,-7.0
occupation,43-4051.00,Customer Service Representatives,0.2372,0.2283,-0.0089,0.0089,1.0035,9.0,7.0,-2.0,6.0,5.0,-1.0
activity,,Analyzing Data or Information,0.0117,0.2564,0.2447,0.2447,0.225,18.0,3.0,-15.0,8.0,1.0,-7.0
activity,,Communicating with People Outside the Organization,0.2314,0.2243,-0.0071,0.0071,0.2883,10.0,10.0,0.0,4.0,5.0,1.0
activity,,Documenting/Recording Information,0.0469,0.2271,0.1802,0.1802,0.2974,17.0,8.0,-9.0,7.0,3.0,-4.0
activity,,Getting Information,0.3057,0.19,-0.1157,0.1157,0.1739,5.0,17.0,12.0,2.0,7.0,5.0
activity,,Monitoring Processes; Materials; or Surroundings,0.0945,0.2248,0.1304,0.1304,0.2968,15.0,9.0,-6.0,6.0,4.0,-2.0
activity,,Processing Information,0.2625,0.1869,-0.0757,0.0757,0.2062,7.0,18.0,11.0,3.0,8.0,5.0
activity,,Thinking Creatively,0.4274,0.2287,-0.1987,0.1987,0.2453,2.0,6.0,4.0,1.0,2.0,1.0
activity,,Working with Computers,0.227,0.2241,-0.0029,0.0029,0.2688,11.0,11.0,0.0,5.0,6.0,1.0
