activity,observed,n_studies,estimate,posterior_std
Analyzing Data or Information,0.6187454499366066,3.0,0.5699,0.1037
Assisting and Caring for Others,,,0.4162,0.2246
Communicating with People Outside the Organization,,,0.4221,0.2832
Communicating with Supervisors; Peers; or Subordinates,,,0.4157,0.1723
Controlling Machines and Processes,,,0.4109,0.244
Documenting/Recording Information,0.3222841225626741,1.0,0.3588,0.1689
Establishing and Maintaining Interpersonal Relationships,,,0.4235,0.1731
Evaluating Information to Determine Compliance with Standards,,,0.4235,0.2846
Getting Information,,,0.4246,0.1663
Handling and Moving Objects,,,0.4118,0.1928
Identifying Objects; Actions; and Events,,,0.4189,0.2254
Inspecting Equipment; Structures; or Materials,,,0.4168,0.3066
Interpreting the Meaning of Information for Others,0.5887448327373892,1.0,0.5177,0.2431
Making Decisions and Solving Problems,0.6018357252619212,1.0,0.4956,0.1228
Monitoring Processes; Materials; or Surroundings,,,0.4169,0.2292
Operating Vehicles; Mechanized Devices; or Equipment,,,0.4168,0.3991
Organizing; Planning; and Prioritizing Work,,,0.4112,0.1862
Performing General Physical Activities,,,0.4114,0.2463
Performing for or Working Directly with the Public,,,0.4111,0.2546
Processing Information,0.392791102839755,6.0,0.393,0.0148
Repairing and Maintaining Mechanical Equipment,,,0.4151,0.3695
Thinking Creatively,0.064207318665013,4.0,0.0904,0.0608
Training and Teaching Others,,,0.4059,0.2996
Updating and Using Relevant Knowledge,0.4119263278737213,1.0,0.4133,0.1384
Working with Computers,0.4492359932088285,1.0,0.4429,0.0902
