code,title,observed,n_studies,estimate,posterior_std
11-1011.00,Chief Executives,,,0.436,1.008
11-1011.03,Chief Sustainability Officers,,,0.4244,1.0071
11-1021.00,General and Operations Managers,0.0399529596236769,1.0,0.0424,0.0787
11-2011.00,Advertising and Promotions Managers,,,0.4108,1.0138
11-2021.00,Marketing Managers,,,0.4166,1.0083
11-2022.00,Sales Managers,,,0.4322,1.0069
11-2033.00,Fundraising Managers,,,0.4165,1.0066
11-3012.00,Administrative Services Managers,,,0.4193,1.0065
11-3013.00,Facilities Managers,,,0.4207,1.006
11-3013.01,Security Managers,,,0.4445,1.0044
11-3021.00,Computer and Information Systems Managers,,,0.4391,1.0029
11-3031.00,Financial Managers,,,0.4297,1.0037
11-3031.01,Treasurers and Controllers,,,0.4764,1.0031
11-3031.03,Investment Fund Managers,,,0.4802,1.0037
11-3051.00,Industrial Production Managers,,,0.4275,1.0046
11-3051.01,Quality Control Systems Managers,,,0.4267,1.0052
11-3051.02,Geothermal Production Managers,,,0.4186,1.0072
11-3051.03,Biofuels Production Managers,,,0.432,1.0048
11-3051.04,Biomass Power Plant Managers,,,0.4163,1.0063
11-3051.06,Hydroelectric Production Managers,,,0.4257,1.0054
11-3061.00,Purchasing Managers,,,0.4243,1.0063
11-3071.00,Transportation; Storage; and Distribution Managers,,,0.4271,1.0053
11-3071.04,Supply Chain Managers,,,0.4335,1.0056
11-3111.00,Compensation and Benefits Managers,,,0.4224,1.0064
11-3121.00,Human Resources Managers,,,0.4231,1.0081
11-3131.00,Training and Development Managers,,,0.4108,1.0156
11-9013.00,Farmers; Ranchers; and Other Agricultural Managers,,,0.4246,1.0052
11-9021.00,Construction Managers,,,0.4221,1.0062
11-9031.00,Education and Childcare Administrators; Preschool and Daycare,,,0.4145,1.007
11-9032.00,Education Administrators; Kindergarten through Secondary,,,0.4242,1.0099
11-9033.00,Education Administrators; Postsecondary,,,0.4359,1.0052
11-9041.00,Architectural and Engineering Managers,,,0.4259,1.0051
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,,,0.4511,1.0015
11-9051.00,Food Service Managers,,,0.4201,1.0096
11-9071.00,Gambling Managers,,,0.4196,1.0073
11-9072.00,Entertainment and Recreation Managers; Except Gambling,,,0.4091,1.0063
11-9081.00,Lodging Managers,,,0.431,1.0051
11-9111.00,Medical and Health Services Managers,,,0.4273,1.0045
11-9121.00,Natural Sciences Managers,,,0.428,1.0047
11-9121.01,Clinical Research Coordinators,,,0.4118,1.0101
11-9121.02,Water Resource Specialists,,,0.4819,1.0025
11-9131.00,Postmasters and Mail Superintendents,,,0.4246,1.0072
11-9141.00,Property; Real Estate; and Community Association Managers,,,0.4396,1.005
11-9151.00,Social and Community Service Managers,,,0.4165,1.0067
11-9161.00,Emergency Management Directors,,,0.4274,1.0076
11-9171.00,Funeral Home Managers,,,0.4128,1.0117
11-9179.01,Fitness and Wellness Coordinators,,,0.4112,1.0071
11-9179.02,Spa Managers,,,0.4216,1.0053
11-9199.01,Regulatory Affairs Managers,,,0.4286,1.0077
11-9199.02,Compliance Managers,,,0.4224,1.0078
11-9199.08,Loss Prevention Managers,,,0.433,1.0054
11-9199.09,Wind Energy Operations Managers,,,0.4192,1.0135
11-9199.10,Wind Energy Development Managers,,,0.4309,1.0119
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,,,0.4381,1.0063
13-1011.00,Agents and Business Managers of Artists; Performers; and Athletes,,,0.3615,1.0058
13-1021.00,Buyers and Purchasing Agents; Farm Products,,,0.4253,1.0047
13-1022.00,Wholesale and Retail Buyers; Except Farm Products,,,0.4214,1.0056
13-1023.00,Purchasing Agents; Except Wholesale; Retail; and Farm Products,,,0.4246,1.0061
13-1031.00,Claims Adjusters; Examiners; and Investigators,,,0.4311,1.0054
13-1032.00,Insurance Appraisers; Auto Damage,,,0.4221,1.0102
13-1041.00,Compliance Officers,,,0.4195,1.0051
13-1041.01,Environmental Compliance Inspectors,,,0.4191,1.0059
13-1041.03,Equal Opportunity Representatives and Officers,,,0.431,1.0089
13-1041.04,Government Property Inspectors and Investigators,,,0.423,1.0075
13-1041.06,Coroners,,,0.4278,1.0059
13-1041.07,Regulatory Affairs Specialists,,,0.4297,1.0066
13-1041.08,Customs Brokers,,,0.422,1.0047
13-1051.00,Cost Estimators,,,0.5014,1.0026
13-1071.00,Human Resources Specialists,,,0.4207,1.0068
13-1074.00,Farm Labor Contractors,,,0.4246,1.0079
13-1075.00,Labor Relations Specialists,,,0.4398,1.0053
13-1081.00,Logisticians,,,0.4274,1.0064
13-1081.01,Logistics Engineers,,,0.4364,1.003
13-1081.02,Logistics Analysts,,,0.4522,1.0022
13-1111.00,Management Analysts,2.140791781015457,1.0,2.1001,0.1546
13-1121.00,Meeting; Convention; and Event Planners,,,0.4132,1.0098
13-1131.00,Fundraisers,,,0.4218,1.0117
13-1141.00,Compensation; Benefits; and Job Analysis Specialists,,,0.4514,1.0039
13-1151.00,Training and Development Specialists,,,0.4158,1.0088
13-1161.00,Market Research Analysts and Marketing Specialists,,,0.4991,1.0022
13-1161.01,Search Marketing Strategists,,,0.4277,1.0039
13-1199.04,Business Continuity Planners,,,0.4235,1.0059
13-1199.05,Sustainability Specialists,,,0.424,1.0073
13-1199.06,Online Merchants,,,0.4364,1.002
13-1199.07,Security Management Specialists,,,0.4265,1.0046
13-2011.00,Accountants and Auditors,,,0.4333,1.0034
13-2022.00,Appraisers of Personal and Business Property,,,0.4415,1.0033
13-2023.00,Appraisers and Assessors of Real Estate,,,0.4433,1.003
13-2031.00,Budget Analysts,,,0.4259,1.0035
13-2041.00,Credit Analysts,,,0.518,1.0029
13-2052.00,Personal Financial Advisors,,,0.47,1.0026
13-2053.00,Insurance Underwriters,,,0.455,1.004
13-2061.00,Financial Examiners,,,0.4536,1.0058
13-2071.00,Credit Counselors,,,0.4234,1.0051
13-2072.00,Loan Officers,,,0.4365,1.0045
13-2081.00,Tax Examiners and Collectors; and Revenue Agents,,,0.4157,1.0078
13-2082.00,Tax Preparers,,,0.4185,1.005
13-2099.01,Financial Quantitative Analysts,0.0011783133481217,2.0,0.0012,0.0047
13-2099.04,Fraud Examiners; Investigators and Analysts,,,0.4634,1.003
15-1211.00,Computer Systems Analysts,,,0.4382,1.0031
15-1211.01,Health Informatics Specialists,,,0.4299,1.0025
15-1212.00,Information Security Analysts,,,0.4282,1.0025
15-1221.00,Computer and Information Research Scientists,,,0.4089,1.0012
15-1231.00,Computer Network Support Specialists,,,0.4338,1.0029
15-1232.00,Computer User Support Specialists,,,0.4299,1.003
15-1241.00,Computer Network Architects,,,0.4363,1.0027
15-1241.01,Telecommunications Engineering Specialists,,,0.432,1.0032
15-1242.00,Database Administrators,,,0.4431,1.0032
15-1243.00,Database Architects,,,0.45,1.0014
15-1243.01,Data Warehousing Specialists,,,0.4622,1.0017
15-1244.00,Network and Computer Systems Administrators,,,0.4411,1.0035
15-1251.00,Computer Programmers,,,0.4258,1.0019
15-1252.00,Software Developers,0.1016504052857313,1.0,0.1022,0.0478
15-1253.00,Software Quality Assurance Analysts and Testers,,,0.4242,1.0022
15-1254.00,Web Developers,,,0.282,1.0012
15-1255.01,Video Game Designers,,,0.1159,1.0016
15-1299.01,Web Administrators,,,0.3914,1.0018
15-1299.02,Geographic Information Systems Technologists and Technicians,,,0.4552,1.0015
15-1299.03,Document Management Specialists,,,0.4201,1.0052
15-1299.05,Information Security Engineers,,,0.4406,1.0029
15-1299.08,Computer Systems Engineers/Architects,,,0.4416,1.0027
15-1299.09,Information Technology Project Managers,,,0.4166,1.0085
15-2011.00,Actuaries,,,0.5142,1.0024
15-2021.00,Mathematicians,,,0.2514,1.0011
15-2031.00,Operations Research Analysts,,,0.4834,1.0019
15-2041.00,Statisticians,,,0.5258,1.0029
15-2041.01,Biostatisticians,,,0.5315,1.0031
15-2051.01,Business Intelligence Analysts,,,0.5093,1.0023
15-2051.02,Clinical Data Managers,,,0.4056,1.0011
15-2099.01,Bioinformatics Technicians,,,0.4456,1.0007
17-1011.00,Architects; Except Landscape and Naval,,,0.3265,1.002
17-1012.00,Landscape Architects,,,0.2822,1.0021
