code,title,observed,n_studies,estimate,posterior_std
11-1011.00,Chief Executives,,,0.2453,1.0057
11-1011.03,Chief Sustainability Officers,,,0.2505,1.004
11-1021.00,General and Operations Managers,,,0.2424,1.0028
11-2011.00,Advertising and Promotions Managers,,,0.2598,1.0114
11-2021.00,Marketing Managers,,,0.2562,1.0056
11-2022.00,Sales Managers,,,0.2446,1.004
11-2033.00,Fundraising Managers,,,0.2537,1.0043
11-3012.00,Administrative Services Managers,,,0.2569,1.0032
11-3013.00,Facilities Managers,,,0.2541,1.0038
11-3013.01,Security Managers,,,0.2343,1.0016
11-3021.00,Computer and Information Systems Managers,,,0.2575,1.0005
11-3031.00,Financial Managers,,,0.2424,1.0016
11-3031.01,Treasurers and Controllers,,,0.2027,1.0009
11-3031.03,Investment Fund Managers,,,0.202,1.0008
11-3051.00,Industrial Production Managers,,,0.2497,1.0023
11-3051.01,Quality Control Systems Managers,,,0.225,1.0016
11-3051.02,Geothermal Production Managers,,,0.2472,1.0039
11-3051.03,Biofuels Production Managers,,,0.2402,1.0022
11-3051.04,Biomass Power Plant Managers,,,0.2455,1.005
11-3051.06,Hydroelectric Production Managers,,,0.237,1.0024
11-3061.00,Purchasing Managers,,,0.2457,1.0029
11-3071.00,Transportation; Storage; and Distribution Managers,,,0.2469,1.0019
11-3071.04,Supply Chain Managers,,,0.2408,1.0027
11-3111.00,Compensation and Benefits Managers,,,0.2474,1.0021
11-3121.00,Human Resources Managers,,,0.2468,1.0041
11-3131.00,Training and Development Managers,,,0.2552,1.0116
11-9013.00,Farmers; Ranchers; and Other Agricultural Managers,,,0.2527,1.0034
11-9021.00,Construction Managers,,,0.2454,1.0038
11-9031.00,Education and Childcare Administrators; Preschool and Daycare,,,0.2555,1.0042
11-9032.00,Education Administrators; Kindergarten through Secondary,,,0.2529,1.0075
11-9033.00,Education Administrators; Postsecondary,,,0.2419,1.0027
11-9041.00,Architectural and Engineering Managers,,,0.2547,1.0027
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,,,0.2107,1.0005
11-9051.00,Food Service Managers,,,0.2542,1.0071
11-9071.00,Gambling Managers,,,0.2498,1.0038
11-9072.00,Entertainment and Recreation Managers; Except Gambling,,,0.2648,1.0038
11-9081.00,Lodging Managers,,,0.2468,1.0024
11-9111.00,Medical and Health Services Managers,,,0.2398,1.0019
11-9121.00,Natural Sciences Managers,,,0.2373,1.0029
11-9121.01,Clinical Research Coordinators,,,0.2492,1.008
11-9121.02,Water Resource Specialists,,,0.1996,1.0008
11-9131.00,Postmasters and Mail Superintendents,,,0.2436,1.0019
11-9141.00,Property; Real Estate; and Community Association Managers,,,0.2426,1.0025
11-9151.00,Social and Community Service Managers,,,0.2494,1.0027
11-9161.00,Emergency Management Directors,,,0.2493,1.0053
11-9171.00,Funeral Home Managers,,,0.2546,1.0098
11-9179.01,Fitness and Wellness Coordinators,,,0.2555,1.0036
11-9179.02,Spa Managers,,,0.2523,1.0025
11-9199.01,Regulatory Affairs Managers,,,0.2466,1.0058
11-9199.02,Compliance Managers,,,0.2389,1.0044
11-9199.08,Loss Prevention Managers,,,0.2421,1.0021
11-9199.09,Wind Energy Operations Managers,,,0.2498,1.0113
11-9199.10,Wind Energy Development Managers,,,0.2453,1.0097
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,,,0.2437,1.0039
13-1011.00,Agents and Business Managers of Artists; Performers; and Athletes,,,0.3079,1.0042
13-1021.00,Buyers and Purchasing Agents; Farm Products,,,0.2523,1.0025
13-1022.00,Wholesale and Retail Buyers; Except Farm Products,,,0.2446,1.0019
13-1023.00,Purchasing Agents; Except Wholesale; Retail; and Farm Products,,,0.2547,1.0025
13-1031.00,Claims Adjusters; Examiners; and Investigators,,,0.2401,1.0034
13-1032.00,Insurance Appraisers; Auto Damage,,,0.2483,1.008
13-1041.00,Compliance Officers,,,0.2498,1.0025
13-1041.01,Environmental Compliance Inspectors,,,0.2452,1.0031
13-1041.03,Equal Opportunity Representatives and Officers,,,0.2367,1.0066
13-1041.04,Government Property Inspectors and Investigators,,,0.2469,1.0054
13-1041.06,Coroners,,,0.2444,1.0038
13-1041.07,Regulatory Affairs Specialists,,,0.2544,1.0029
13-1041.08,Customs Brokers,,,0.257,1.0017
13-1051.00,Cost Estimators,,,0.1729,1.0006
13-1071.00,Human Resources Specialists,,,0.2492,1.0045
13-1074.00,Farm Labor Contractors,,,0.2439,1.0062
13-1075.00,Labor Relations Specialists,,,0.246,1.0027
13-1081.00,Logisticians,,,0.2458,1.0041
13-1081.01,Logistics Engineers,,,0.2349,1.0012
13-1081.02,Logistics Analysts,,,0.2157,1.0009
13-1111.00,Management Analysts,0.1258802458890029,1.0,0.1271,0.0995
13-1121.00,Meeting; Convention; and Event Planners,,,0.2558,1.0078
13-1131.00,Fundraisers,,,0.2567,1.0097
13-1141.00,Compensation; Benefits; and Job Analysis Specialists,,,0.2169,1.0019
13-1151.00,Training and Development Specialists,,,0.2501,1.004
13-1161.00,Market Research Analysts and Marketing Specialists,,,0.1666,1.0006
