soc,speed,speed_observed,quality,quality_observed,title,mean_salary_2021,median_salary_2021,lm_aioe,ig_aioe,occ_req_education,avg_creative_weight,mean_female,mean_white,mean_black,mean_asian,mean_hispanic,count_occ,acs_code,speed_z,quality_z,lm_aioe_z
11-1011,0.2479,False,0.4302,False,Chief Executives,213.02,179.52,1.3089116,1.3096025,7.23005,0.08190758,,,,,,,,-0.15037485958426544,0.2323351195620242,1.296043
11-1021,0.2424,False,0.0424,True,General and Operations Managers,115.25,97.97,0.6776147,0.23188387,4.916,0.061672807,0.33161041140556335,0.8244041800498962,0.04821211099624634,0.04932347685098648,0.09765907377004623,56687.0,11-1021,-0.28701268262480795,-4.73030975001351,0.66054887
11-2011,0.2598,False,0.4108,False,Advertising and Promotions Managers,142.86,127.15,1.217224,1.6145979,5.2070003,0.08685395,0.5585273504257202,0.835116446018219,0.036186281591653824,0.05726872384548187,0.08181246370077133,3178.0,11-2011,0.14525970299436183,-0.015925093098536604,1.2037458
11-2021,0.2562,False,0.4166,False,Marketing Managers,153.44,135.03,1.2037742,1.6103578,6.6805,0.08271368,0.6218603849411011,0.8182799220085144,0.03479316458106041,0.0771046131849289,0.08152119070291519,29661.0,11-2021,0.05582403700418883,0.0582970323360643,1.1902066
11-2022,0.2446,False,0.4322,False,Sales Managers,142.39,127.49,1.2938212,1.0099978,6.0442,0.08293111,0.3354503810405731,0.8526529669761658,0.035747986286878586,0.04369601607322693,0.08347245305776596,27554.0,11-2022,-0.23235755340859082,0.25792895591878234,1.2808523
11-2033,0.2537,False,0.4165,False,Fundraising Managers,119.4,100.81,1.3829477,1.120145,6.103,0.08096575,0.6689543724060059,0.8433588743209839,0.051271699368953705,0.04037141799926758,0.07488898187875748,4954.0,11-2030,-0.006284064377875961,0.05701734051822579,1.3705714
11-3012,0.2569,False,0.4193,False,Administrative Services Managers,113.03,100.17,0.7681937,0.5163846,3.9636,0.06220355,0.69915372133255,0.7925198078155518,0.0758940726518631,0.04886705055832863,0.10210210084915161,3663.0,11-3012,0.0732143053911678,0.09284871141768844,0.75173014
11-3013,0.2442,False,0.4326,False,Facilities Managers,101.97,97.93,0.83907926,0.7399602,5.04675,0.0651948,0.19987858831882477,0.8160570859909058,0.07011686265468597,0.029139474034309387,0.09591744095087051,6589.0,11-3013,-0.24229484962972148,0.26304772319013425,0.823087
11-3021,0.2575,False,0.4391,False,Computer and Information Systems Managers,162.93,159.01,0.9450699,1.2754656,5.5503,0.06683632,0.2964628338813782,0.761816680431366,0.045957714319229126,0.13289320468902588,0.06206425651907921,35141.0,11-3021,0.08812024972286307,0.34622769134960046,0.92978233
11-3031,0.2157,False,0.4621,False,Financial Managers,153.46,131.71,1.1022578,1.1470983,6.1916,0.069805905,0.5654783248901367,0.7960274815559387,0.05703358352184296,0.07570978254079819,0.09681471437215805,71642.0,11-3031,-0.9503272053852594,0.6405568094523271,1.0880153
11-3051,0.24076666666666666,False,0.4244666666666667,False,Industrial Production Managers,117.78,103.15,0.35429716,0.6547023,4.9051833,0.056330565,0.22300423681735992,0.8366243243217468,0.03388725966215134,0.05897686630487442,0.09019224345684052,15345.0,11-3051,-0.3275899755277573,0.15896612200598256,0.33508164
11-3061,0.2457,False,0.4243,False,Purchasing Managers,134.59,127.15,1.3931017,1.2982477,6.15,0.08805344,0.48608505725860596,0.8128517866134644,0.06597873568534851,0.05433083325624466,0.07825203239917755,12792.0,11-3061,-0.2050299888004826,0.15683330230958553,1.380793
11-3071,0.24385,False,0.4303,False,Transportation; Storage; and Distribution Managers,105.58,98.23,0.9072563,0.8683287,5.5921164,0.06895818,0.20487573742866516,0.7870433330535889,0.07700665295124054,0.04393589496612549,0.12678256630897522,14726.0,11-3071,-0.25098998382321025,0.23361481137986204,0.8917173
11-3111,0.2474,False,0.4224,False,Compensation and Benefits Managers,139.47,127.53,1.4667436,0.55931056,6.3334,0.07633022,0.760614275932312,0.8003613352775574,0.08943089097738266,0.04787714406847954,0.08039747178554535,1107.0,11-3111,-0.1627964798606784,0.1325191577706645,1.4549245
11-3121,0.2468,False,0.4231,False,Human Resources Managers,136.59,126.23,1.359222,0.9705216,6.3051,0.08108405,0.6679362654685974,0.7846046090126038,0.08494537323713303,0.054124485701322556,0.1123083084821701,19954.0,11-3121,-0.17770242419237436,0.1414770004955298,1.346688
11-3131,0.2552,False,0.4108,False,Training and Development Managers,128.8,120.13,1.3368375,1.199591,6.6283,0.08346949,0.5093863606452942,0.7960212826728821,0.08461754024028778,0.03642476722598076,0.09162230044603348,3569.0,11-3131,0.03098079645136291,-0.015925093098536604,1.3241546
11-9013,0.2527,False,0.4246,False,Farmers; Ranchers; and Other Agricultural Managers,78.44,73.06,-0.15849964,0.01627887,4.4200335,0.056143768,0.15589596331119537,0.9344655871391296,0.008385459892451763,0.011522745713591576,0.045045219361782074,51637.0,11-9013,-0.031127304930701875,0.16067237776309892,-0.18112461
11-9021,0.2454,False,0.4221,False,Construction Managers,108.21,98.89,0.6361951,1.8570849,5.68,0.060858864,0.08175968378782272,0.8619464039802551,0.02895655483007431,0.02470875158905983,0.10741472989320755,47554.0,11-9021,-0.21248296096633024,0.1286800823171504,0.6188539
11-9031,0.2555,False,0.4145,False,Education and Childcare Administrators; Preschool and Daycare,53.8,47.31,0.9671877,0.42575225,4.1391997,0.064704865,0.6595171093940735,0.7968642711639404,0.09704286605119705,0.03707583621144295,0.08960708975791931,58232.0,11-9030,0.03843376861721124,0.031423504161466956,0.95204717
11-9032,0.2529,False,0.4242,False,Education Administrators; Kindergarten through Secondary,102.65,98.42,1.1994486,0.617483,7.8223,0.083334,0.6595171093940735,0.7968642711639404,0.09704286605119705,0.03707583621144295,0.08960708975791931,58232.0,11-9030,-0.026158656820135864,0.15555361049174773,1.1858523
11-9033,0.2419,False,0.4359,False,Education Administrators; Postsecondary,111.26,96.91,1.544923,1.1096041,9.2528,0.08991366,0.6595171093940735,0.7968642711639404,0.09704286605119705,0.03707583621144295,0.08960708975791931,58232.0,11-9030,-0.2994343029012209,0.30527755317878663,1.5336236
11-9041,0.2327,False,0.4385,False,Architectural and Engineering Managers,158.97,152.35,0.64741105,1.3260394,6.5979,0.072341576,0.10560782253742218,0.8064010143280029,0.022597307339310646,0.11676812171936035,0.053218964487314224,10842.0,11-9041,-0.5279921159872195,0.33854954044257296,0.6301444
11-9051,0.2542,False,0.4201,False,Food Service Managers,63.97,59.44,0.061493147,-0.71020895,2.5406,0.053230766,0.5095002055168152,0.7178603410720825,0.07461012899875641,0.0950225293636322,0.15223124623298645,48157.0,11-9051,0.006137555898536997,0.10308624596039155,0.040330857
11-9071,0.2498,False,0.4196,False,Gambling Managers,89.19,76.91,0.7192592,0.7312038,3.6848,0.055156995,0.4290635883808136,0.7954901456832886,0.05261509492993355,0.04791731759905815,0.09802693128585815,3193.0,11-9070,-0.10317270253389661,0.09668778687120184,0.70247024
11-9072,0.2648,False,0.4091,False,Entertainment and Recreation Managers; Except Gambling,73.81,62.0,0.90996474,0.9635357,6.1299,0.06818605,0.4290635883808136,0.7954901456832886,0.05261509492993355,0.04791731759905815,0.09802693128585815,3193.0,11-9070,0.2694759057584914,-0.03767985400178133,0.89444375
11-9081,0.2468,False,0.431,False,Lodging Managers,67.77,59.43,0.46398506,0.20530598,4.8903,0.061140522,0.5414310097694397,0.7586673498153687,0.06147037073969841,0.09822965413331985,0.09343496710062027,8134.0,11-9081,-0.17770242419237436,0.24257265410472734,0.44549882
11-9111,0.2398,False,0.4273,False,Medical and Health Services Managers,119.84,101.34,1.314992,0.8518099,6.077,0.070983835,0.7272425889968872,0.779663622379303,0.09085117280483246,0.05568297579884529,0.09367991983890533,39240.0,11-9111,-0.35160510806215506,0.19522405684472377,1.3021638
11-9121,0.22870000000000001,False,0.4405666666666666,False,Natural Sciences Managers,156.11,137.9,1.2413431,1.3130147,7.0196,0.07330471,0.5659301280975342,0.7961511015892029,0.038488950580358505,0.0955096185207367,0.06842480599880219,1403.0,11-9121,-0.6273650781985225,0.36499650467788963,1.2280253
11-9131,0.2436,False,0.4246,False,Postmasters and Mail Superintendents,81.82,80.25,0.86570406,0.4705282,3.0264,0.06752019,,,,,,,,-0.25720079396141676,0.16067237776309892,0.8498888
11-9141,0.2426,False,0.4396,False,Property; Real Estate; and Community Association Managers,70.03,59.23,1.2145946,1.054147,5.04,0.06956201,0.5161170959472656,0.8049977421760559,0.06672181934118271,0.04390118643641472,0.11535828560590744,35056.0,11-9141,-0.28204403451424265,0.3526261504387902,1.2010989
11-9151,0.2494,False,0.4165,False,Social and Community Service Managers,76.79,74.0,1.2252437,0.7898791,6.3066998,0.07428336,0.7101982831954956,0.7681348919868469,0.10728560388088226,0.03751632571220398,0.09113933891057968,25269.0,11-9151,-0.11310999875502657,0.05701734051822579,1.2118188
11-9161,0.2493,False,0.4274,False,Emergency Management Directors,84.8,76.73,0.901037,1.4042481,6.12,0.07523231,0.3154121935367584,0.8148148059844971,0.07765830308198929,0.025089606642723083,0.08960573375225067,837.0,11-9161,-0.11559432281030957,0.19650374866256157,0.8854566
11-9171,0.2546,False,0.4128,False,Funeral Home Managers,82.9,74.0,0.33673203,0.40260535,5.7125,0.05277936,,,,,,,,0.016074852119667637,0.00966874325822223,0.31739974
11-9179,0.2539,False,0.4164,False,Fitness and Wellness Coordinators,59.58,60.36,0.72192436,0.21935815,5.7559166,0.06771951,,,,,,,,-0.0013154162673099505,0.05573764870038799,0.70515317
11-9199,0.24439999999999998,False,0.4287,False,Regulatory Affairs Managers,129.71,124.65,0.90996474,0.9635357,6.1299,0.06818605,,,,,,,,-0.23732620151915684,0.2131397422944551,0.89444375
13-1011,0.3079,False,0.3615,False,Agents and Business Managers of Artists; Performers; and Athletes,116.41,78.41,1.2476282,0.4296089,5.2309003,0.069637455,0.4799344837665558,0.7907453179359436,0.06838656961917877,0.05692055821418762,0.09746109694242477,2442.0,13-1011,1.340219573585288,-0.6468131592926414,1.2343522
13-1021,0.2523,False,0.4253,False,Buyers and Purchasing Agents; Farm Products,,,0.736816,0.6206006,5.4674997,0.06733946,0.2577996850013733,0.8407225012779236,0.04926108196377754,0.03940886631608009,0.10673234611749649,609.0,13-1021,-0.04106460115183114,0.16963022048796494,0.7201438
13-1022,0.2446,False,0.4214,False,Wholesale and Retail Buyers; Except Farm Products,,,0.7911764,0.6688566,3.9401999,0.07461722,0.5716478824615479,0.8023712038993835,0.06021835654973984,0.05177413672208786,0.11438075453042984,11724.0,13-1022,-0.23235755340859082,0.11972223959228508,0.7748656
13-1023,0.2547,False,0.4246,False,Purchasing Agents; Except Wholesale; Retail; and Farm Products,,,1.4957008,1.0576178,5.6961,0.07158316,0.5351913571357727,0.8076781034469604,0.06386120617389679,0.05758582428097725,0.08594807237386703,16254.0,13-1023,0.018559176174949954,0.16067237776309892,1.4840742
13-1031,0.2401,False,0.4311,False,Claims Adjusters; Examiners; and Investigators,70.96,65.08,1.1061984,1.2861141,5.14325,0.059153978,0.5875263810157776,0.7625235915184021,0.11668332666158676,0.043818727135658264,0.09952238202095032,18006.0,13-1030,-0.34415213589630744,0.24385234592256513,1.0919821
13-1032,0.2483,False,0.4221,False,Insurance Appraisers; Auto Damage,68.18,62.68,0.58208334,0.69738036,3.4155,0.055842593,0.5875263810157776,0.7625235915184021,0.11668332666158676,0.043818727135658264,0.09952238202095032,18006.0,13-1030,-0.14043756336313548,0.1286800823171504,0.5643824
13-1041,0.24777142857142856,False,0.4245857142857143,False,Compliance Officers,75.81,71.65,0.74842536,1.0231687,5.227125,0.064799055,0.5349658727645874,0.7671886086463928,0.0877678394317627,0.06210266053676605,0.10324935615062714,16988.0,13-1041,-0.15356899051248646,0.16048956464626526,0.73183036
13-1051,0.1729,False,0.5014,False,Cost Estimators,73.74,65.17,1.1340798,1.4779243,5.864,0.071869284,0.14363741874694824,0.8859965205192566,0.018826263025403023,0.03253922238945961,0.08297501504421234,8605.0,13-1051,-2.013617901046208,1.143475693862637,1.1200489
13-1071,0.2492,False,0.4207,False,Human Resources Specialists,70.72,62.29,1.5574723,0.5706536,5.7669997,0.07426113,0.744215726852417,0.7447392344474792,0.10467137396335602,0.056743230670690536,0.1188676506280899,47759.0,13-1070,-0.11807864686559189,0.11076439686741976,1.5462564
13-1074,0.2439,False,0.4246,False,Farm Labor Contractors,54.4,47.77,-0.4044011,-0.6037571,1.7107999,0.03715638,0.744215726852417,0.7447392344474792,0.10467137396335602,0.056743230670690536,0.1188676506280899,47759.0,13-1070,-0.2497478217955691,0.16067237776309892,-0.42866102
13-1075,0.246,False,0.4398,False,Labor Relations Specialists,77.07,77.01,1.4314107,0.94410044,5.9,0.078502856,0.744215726852417,0.7447392344474792,0.10467137396335602,0.056743230670690536,0.1188676506280899,47759.0,13-1070,-0.19757701663463495,0.35518553407446646,1.4193566
13-1081,0.23213333333333333,False,0.4386666666666667,False,Logisticians,79.23,77.03,1.0813531,1.5686994,5.7671,0.07751275,0.35042834281921387,0.7043297290802002,0.1224820539355278,0.06969206035137177,0.1381106674671173,8638.0,13-1081,-0.5420699523004873,0.34068236013897,1.0669715
13-1111,0.1271,True,2.1001,True,Management Analysts,100.53,93.0,1.5475565,0.9662557,7.1539,0.07698084,0.4303409457206726,0.7878777384757996,0.05516694486141205,0.09731300920248032,0.06542155146598816,56755.0,13-1111,-3.1514383183656336,21.601908785637793,1.5362747
13-1121,0.2558,False,0.4132,False,Meeting; Convention; and Event Planners,57.85,49.47,0.51306784,0.19925089,4.6675,0.06686001,0.7831672430038452,0.7950534224510193,0.07155720889568329,0.04610397294163704,0.1072157546877861,8329.0,13-1121,0.045886740783059564,0.01478751052957414,0.49490795
13-1131,0.2567,False,0.4218,False,Fundraisers,64.87,60.66,1.4046909,0.71830076,5.9056,0.07956422,0.719213604927063,0.872743546962738,0.04039320722222328,0.033422697335481644,0.05665773153305054,5595.0,13-1131,0.06824565728060178,0.12484100686363699,1.3924592
13-1141,0.2169,False,0.4514,False,Compensation; Benefits; and Job Analysis Specialists,73.81,64.12,1.3618382,1.2214352,5.3922,0.076978534,0.7569196820259094,0.7358180284500122,0.12112907320261002,0.05453548952937126,0.11126335710287094,3649.0,13-1141,-0.9205153167218681,0.5036297849436676,1.3493216
13-1151,0.2501,False,0.4158,False,Training and Development Specialists,67.62,61.57,1.3229108,0.94806236,6.3339,0.084970154,0.5430910587310791,0.7756388783454895,0.0977984294295311,0.03706162050366402,0.10001106560230255,9039.0,13-1151,-0.09571973036804898,0.04805949779336048,1.3101354
13-1161,0.20535,False,0.46340000000000003,False,Market Research Analysts and Marketing Specialists,76.08,63.92,1.1999228,1.4961646,6.377137,0.07826202,0.6149353981018066,0.7893304228782654,0.042163606733083725,0.09462067484855652,0.08343642950057983,20207.0,13-1161,-1.2074547451070072,0.6571928030842206,1.1863296
13-1199,0.24534999999999998,False,0.4276,False,Business Continuity Planners,79.24,74.67,0.92503,1.2212363,4.9577,0.07375872,0.5554839372634888,0.7305741906166077,0.08672855794429779,0.09085439145565033,0.10168471932411194,23268.0,13-1199,-0.2137251229939721,0.19906313229823716,0.9096092
13-2011,0.2302,False,0.4333,False,Accountants and Auditors,83.98,77.25,1.2140007,1.5720906,6.04665,0.0703158,0.6061688661575317,0.7635887861251831,0.06105109304189682,0.11778827756643295,0.07541826367378235,106632.0,13-2011,-0.5901002173692843,0.2720055659150003,1.2005011
13-2022,0.2274,False,0.4415,False,Appraisers of Personal and Business Property,,,0.6279358,1.184728,4.4165,0.064369716,0.3778241276741028,0.8983315825462341,0.029023287817835808,0.027980534359812737,0.050399720668792725,5754.0,13-2020,-0.6596612909171967,0.3769402949777112,0.61053973
