code,label,n_studies_speed,speed_log_ratio_mean,speed_log_ratio_se,speed_pct_change_equiv,speed_aggregation_method,n_studies_quality,quality_hedges_g_mean,quality_hedges_g_se,quality_aggregation_method,contributing_studies
WA-01,Analyzing Data or Information,5,0.09248515523550739,,0.09689685826390981,simple_mean,3,0.6187454499366066,0.11669246598565107,iv_weighted,asam_2025_generative_startup; christensen_2025_fraud_risk; fitzpatrick_2025_generative_ai_public; kikuchi_2026_innovation_tax; merali_2025_scaling_laws
WA-03,"Communicating with Supervisors, Peers, or Subordinates",1,0.23136364186155733,,0.2603174603174603,simple_mean,0,,,n/a,goetz_2025_ai_marketing
WA-30,Documenting/Recording Information,2,0.13626513371558935,,0.14598569276411566,simple_mean,1,0.32228412256267414,0.20818105267963993,iv_weighted,schwarcz_2026_ai_lawyering; wang_2025_ai_writing_guidance
WA-22,Getting Information,1,0.3056756374997935,,0.35754189944134085,simple_mean,0,,,n/a,edelman_2023_copilot_productivity
WA-19,Interpreting the Meaning of Information for Others,0,,,,n/a,1,0.5887448327373892,0.2987008238705968,iv_weighted,hansen_2024_ai_peer_feedback
WA-10,Making Decisions and Solving Problems,1,0.19525776740136555,,0.21562429442312037,simple_mean,1,0.6018357252619212,0.17191494009707392,iv_weighted,alsobay_2025_llm_facilitated; bono_2024_security_copilot
WA-14,Processing Information,5,0.22275850115873816,,0.2495187799585321,simple_mean,6,0.392791102839755,0.014836946432255724,iv_weighted,autor_2003_computerization_skills; chukwuka_2025_ai_productivity; haslberger_2025_ai_productivity; ju_2023_generative_ai_learning; kim_2024_generative_ai_tutoring; nakavachara_2024_chatgpt_productivity; usdan_2024_generative_writing
WA-13,Thinking Creatively,3,0.549291539758391,,0.7320255118865213,simple_mean,4,0.06420731866501303,0.06282025266670829,iv_weighted,chen_2024_llm_creative; fu_2024_creativity_ai; hosanagar_2024_human_ai_collaboration; ju_2026_collaborating_ai; roldan_2024_genai_inequality; zhang_2024_generative_equilibrium
WA-15,Updating and Using Relevant Knowledge,0,,,,n/a,1,0.4119263278737213,0.24778154173722486,iv_weighted,babaei_balderlou_2025_ai_study_groups
WA-25,Working with Computers,11,0.2611534351592363,,0.29842687448470606,simple_mean,1,0.4492359932088285,0.09594639639733235,iv_weighted,daniotti_2025_ai_code; dillon_2025_shifting_work; he_2026_cursor_velocity; kreitmeir_2024_chatgpt_productivity; li_2026_copilot_oss; noy_2023_chatgpt_productivity; peng_2023_copilot_productivity; quispe_2024_chatgpt_software; tipnis_2025_ai_philanthropy; yeverechyahu_2025_github_copilot; yeverechyahu_2026_llm_opensource
